id,question_text,company,date,cluster_id,topic_name,final_category,canonical_question
q5,Почему нельзя просто изменить текст в элементе через DOM API в React,06 Иц-Айтеко,2025-06-05,77,DOM и его особенности,JavaScript Core,Почему нельзя просто изменить текст в элементе через DOM API в React
q6,Объясните разницу между умным и глупым компонентом в React,06 Иц-Айтеко,2025-06-05,57,Основы React и Suspense,React,Что такое React
q7,Перечислите и опишите методы жизненного цикла в React и работу хука useEffect,06 Иц-Айтеко,2025-06-05,157,Жизненный цикл компонентов,React,Перечислите и опишите методы жизненного цикла в React и работу хука useEffect
q8,"Что такое замыкание, приведите пример замыкания на основе использования setState внутри useEffect",06 Иц-Айтеко,2025-06-05,64,Управление состоянием в React,React,"Что такое замыкание, приведите пример замыкания на основе использования setState внутри useEffect"
q9,Объясните назначение свойства key в React,06 Иц-Айтеко,2025-06-05,35,Ключи в React,React,Объясните назначение свойства key в React
q10,Какие правила хуков в React существуют и почему их нужно соблюдать,06 Иц-Айтеко,2025-06-05,-1,Нет темы,Нет кластера,
q11,Что такое JSX и можно ли использовать React без него,06 Иц-Айтеко,2025-06-05,164,JSX и современные технологии,React,Что такое JSX и можно ли использовать React без него
q1,Что такое event-loop,07 Точка Маркетплейсы,2024-07-26,10,Event Loop,JavaScript Core,event-loop
q1,Как задача прилетала в бэклог флоу,10 Бсс,2024-10-18,-1,Нет темы,Нет кластера,
q3,call/bind/apply,10 Бсс,2024-10-18,81,"Методы bind, call, apply",JavaScript Core,call/bind/apply
q4,Замыкание,10 Бсс,2024-10-18,3,Хуки и замыкания,React,Замыкание
q5,EventLoop,10 Бсс,2024-10-18,46,Обработка событий в JavaScript,JavaScript Core,EventLoop
q6,Что относится к микротаскам,10 Бсс,2024-10-18,45,Микрофронты и задачи,JavaScript Core,Что относится к микротаскам
q7,async/await,10 Бсс,2024-10-18,22,Асинхронное программирование,JavaScript Core,async/await
q9,Почему не можем использовать HTML вместо DOM (JavaScript работает только через DOM),10 Бсс,2024-10-18,77,DOM и его особенности,JavaScript Core,Почему нельзя просто изменить текст в элементе через DOM API в React
q10,Всплытие и погружение событий подробно,10 Бсс,2024-10-18,85,Всплытие и погружение событий,JavaScript Core,Всплытие и погружение событий подробно
q11,stopPropagation и preventDefault,10 Бсс,2024-10-18,46,Обработка событий в JavaScript,JavaScript Core,EventLoop
q12,"Назовите 3 React-хука, с которыми чаще всего работали",10 Бсс,2024-10-18,28,Хуки в React,React,С какими хуками React вы работали и для чего они используются
q13,useRef,10 Бсс,2024-10-18,62,Хуки React,React,Что такое ref и зачем нужен
q14,useEffect: как может себя вести при отсутствии зависимостей или при их удалении,10 Бсс,2024-10-18,27,Хук useEffect и его особенности,React,Что такое cleanup функция в useEffect
q15,HOC (Higher Order Component),10 Бсс,2024-10-18,124,Высшие компоненты в React,React,HOC (Higher Order Component)
q16,useMemo vs useCallback,10 Бсс,2024-10-18,49,Оптимизация React хуков,React,useMemo vs useCallback
q18,Middleware в Redux,10 Бсс,2024-10-18,2,Управление состоянием в JS,React,Middleware в Redux
q19,HOC (Higher Order Function),10 Бсс,2024-10-18,124,Высшие компоненты в React,React,HOC (Higher Order Component)
q20,HTTP vs HTTPS,10 Бсс,2024-10-18,143,Протоколы HTTP и HTTPS,Сеть,HTTP vs HTTPS
q21,Открытый и закрытый ключ,10 Бсс,2024-10-18,140,Ключи в React,React,Открытый и закрытый ключ
q22,Как настроить кэширование в браузере,10 Бсс,2024-10-18,15,Браузерные хранилища,JavaScript Core,Как настроить кэширование в браузере
q23,sessionStorage vs localStorage,10 Бсс,2024-10-18,38,Хранилища данных в браузере,JavaScript Core,sessionStorage vs localStorage
q24,"Написать функцию для проверки, является ли строка палиндромом, и предложить способы оптимизации решения",10 Бсс,2024-10-18,122,Проверка строковых свойств,Алгоритмы,"Написать функцию для проверки, является ли строка палиндромом, и предложить способы оптимизации решения"
q25,"Написать функцию для проверки правильности совпадения скобок в строке (например, '((()))') и предложить способы оптимизации решения",10 Бсс,2024-10-18,122,Проверка строковых свойств,Алгоритмы,"Написать функцию для проверки, является ли строка палиндромом, и предложить способы оптимизации решения"
q26,"Привести строку с дробью к формату без скобок, например преобразовать '(9999/9999)'",10 Бсс,2024-10-18,12,Числовые задачи массива,JavaScript Core,"Привести строку с дробью к формату без скобок, например преобразовать '(9999/9999)'"
q1,class vs id,65Apps,2025-01-17,74,Интерфейсы и типы в TS,TypeScript,Разница интерфейсов и типов
q2,модули в JS,65Apps,2025-01-17,17,Асинхронный JavaScript,JavaScript Core,модули в JS
q3,Какие бывают бандлеры,65Apps,2025-01-17,7,Функциональный JS & Web API,JavaScript Core,Какие бывают бандлеры
q4,Как оптимизировать бандл,65Apps,2025-01-17,68,Способы оптимизации,Производительность,Как оптимизировать бандл
q8,Что хранится на бэке для авторизации,65Apps,2025-01-17,30,Авторизация и токены,Сеть,Что хранится на бэке для авторизации
q9,"Реализуйте функцию flat, которая принимает массив с вложенными массивами и возвращает плоский массив с элементами всех уровней вложенности",65Apps,2025-01-17,-1,Нет темы,Нет кластера,
q1,Об опыте,Action Tech,2025-04-16,21,Опыт и истории,Soft Skills,Кратко про опыт
q2,Virtual dom,Action Tech,2025-04-16,97,Виртуализация в React,React,Что такое виртуальный дом в React
q3,Проп key,Action Tech,2025-04-16,140,Ключи в React,React,Открытый и закрытый ключ
q4,Мемоизация в react,Action Tech,2025-04-16,165,Мемоизация в React 19,React,Мемоизация в react
q5,Event loop,Action Tech,2025-04-16,10,Event Loop,JavaScript Core,event-loop
q6,"Что такое fsd, как внедряли его на проект",Action Tech,2025-04-16,147,FSD: Внедрение и Проблемы,Архитектура,"Что такое fsd, как внедряли его на проект"
q7,Виды рендеринга,Action Tech,2025-04-16,96,Рендеринг и рекурсия,Производительность,Виды рендеринга
q8,Минусы / плюсы TS,Action Tech,2025-04-16,74,Интерфейсы и типы в TS,TypeScript,Разница интерфейсов и типов
q9,Generics,Action Tech,2025-04-16,-1,Нет темы,Нет кластера,
q10,"Utility types, кастомные утилиты",Action Tech,2025-04-16,-1,Нет темы,Нет кластера,
q11,Как работает браузер,Action Tech,2025-04-16,-1,Нет темы,Нет кластера,
q12,http/https,Action Tech,2025-04-16,3,Хуки и замыкания,React,Замыкание
q1,Кратко про опыт работы,AEX Soft,2025-04-30,19,Опыт и работа,Soft Skills,Кратко про опыт работы
q2,Axios или Fetch? Что сейчас лучше использовать?,AEX Soft,2025-04-30,-1,Нет темы,Нет кластера,
q3,Объясните разницу между any и unknown в TypeScript,AEX Soft,2025-04-30,54,"Типы any, unknown, never",TypeScript,Разница между any / never / unknown
q4,Что такое as const в TypeScript?,AEX Soft,2025-04-30,0,Типы и дженерики в TypeScript,TypeScript,Что такое as const в TypeScript?
q5,Что такое infer в TypeScript?,AEX Soft,2025-04-30,-1,Нет темы,Нет кластера,
q6,Что такое замыкание?,AEX Soft,2025-04-30,132,Замыкания в программировании,JavaScript Core,Что такое замыкания
q7,Что такое reconciliation в React?,AEX Soft,2025-04-30,-1,Нет темы,Нет кластера,
q8,Что такое EventLoop?,AEX Soft,2025-04-30,46,Обработка событий в JavaScript,JavaScript Core,EventLoop
q9,Объясните принцип работы React.memo,AEX Soft,2025-04-30,166,Сравнение React.memo,React,Объясните принцип работы React.memo
q1,"Реализовать функцию groupAnagrams, которая группирует слова из массива по анаграммам",AEX Soft,2025-04-30,-1,Нет темы,Нет кластера,
q2,"Написать функцию для поиска числа, которое встречается ровно 2 раза в массиве",AEX Soft,2025-04-30,12,Числовые задачи массива,JavaScript Core,"Привести строку с дробью к формату без скобок, например преобразовать '(9999/9999)'"
q3,"Реализовать функцию isUnique, которая проверяет, что все строки в массиве уникальны",AEX Soft,2025-04-30,122,Проверка строковых свойств,Алгоритмы,"Написать функцию для проверки, является ли строка палиндромом, и предложить способы оптимизации решения"
q4,Сделать React-компонент с 30 инпутами и вынести инпут в отдельный компонент InputField с управляемым состоянием,AEX Soft,2025-04-30,-1,Нет темы,Нет кластера,
q1,Что такое чистая функция,Aggregate Digital,2024-11-07,141,Чистые функции и перегрузка,Архитектура,Что такое чистая функция
q2,Что такое замыкание (привести кейс замыкания),Aggregate Digital,2024-11-07,132,Замыкания в программировании,JavaScript Core,Что такое замыкания
q3,Как выполняется отрисовка в браузере,Aggregate Digital,2024-11-07,34,Отрисовка страниц в браузере,Браузеры,Как выполняется отрисовка в браузере
q4,Когда подключится js,Aggregate Digital,2024-11-07,17,Асинхронный JavaScript,JavaScript Core,модули в JS
q5,Event Loop,Aggregate Digital,2024-11-07,10,Event Loop,JavaScript Core,event-loop
q6,Что такое VDOM,Aggregate Digital,2024-11-07,26,Виртуальный DOM и Reconciliation,React,"Зачем нужен React, объясните преимущества декларативности, виртуального DOM и процесса reconciliation"
q7,"useState, колбек функция стейта",Aggregate Digital,2024-11-07,62,Хуки React,React,Что такое ref и зачем нужен
q8,Отличия useEffect от useLayoutEffect,Aggregate Digital,2024-11-07,71,Отличия useEffect и useLayoutEffect,React,Отличия useEffect от useLayoutEffect
q9,"Что такое key, зачем нужен",Aggregate Digital,2024-11-07,140,Ключи в React,React,Открытый и закрытый ключ
q10,Что нового в React 18,Aggregate Digital,2024-11-07,-1,Нет темы,Нет кластера,
q11,"React.memo, что такое, как юзать, как аргументы",Aggregate Digital,2024-11-07,166,Сравнение React.memo,React,Объясните принцип работы React.memo
q12,FLUX - что такое,Aggregate Digital,2024-11-07,7,Функциональный JS & Web API,JavaScript Core,Какие бывают бандлеры
q13,"Что не нравится в эффекторе, какие минусы видишь",Aggregate Digital,2024-11-07,-1,Нет темы,Нет кластера,
q14,Отличия типа от интерфейса в TypeScript,Aggregate Digital,2024-11-07,25,Интерфейсы и типы в TypeScript,TypeScript,Отличия типа от интерфейса в TypeScript
q15,Есть ли перегрузка в TypeScript?,Aggregate Digital,2024-11-07,0,Типы и дженерики в TypeScript,TypeScript,Что такое as const в TypeScript?
q16,"Что такое satisfies в TypeScript, отличия от as",Aggregate Digital,2024-11-07,0,Типы и дженерики в TypeScript,TypeScript,Что такое as const в TypeScript?
q17,Декораторы в TypeScript,Aggregate Digital,2024-11-07,0,Типы и дженерики в TypeScript,TypeScript,Что такое as const в TypeScript?
q1,"Задача: отрисовать шахматную доску и реализовать управление королем, который может ходить только на соседние 8 клеток, при этом закрашивать возможные ходы",Agima,2025-03-17,154,Центрирование элементов,Верстка,"Задача: отрисовать шахматную доску и реализовать управление королем, который может ходить только на соседние 8 клеток, при этом закрашивать возможные ходы"
q2,Объясните принцип работы React.memo и useCallback,Agima,2025-03-17,75,Оптимизация React-компонентов,React,Объясните принцип работы React.memo и useCallback
q3,Работали ли вы с Next.js?,Agima,2025-03-17,14,Next.js и Three.js интервью,JavaScript Core,Работали ли вы с Next.js?
q4,Работали ли вы с 3D графикой в JavaScript (Three.js)?,Agima,2025-03-17,14,Next.js и Three.js интервью,JavaScript Core,Работали ли вы с Next.js?
q5,"Расскажите, как вы попали в IT и фронтенд",Agima,2025-03-17,-1,Нет темы,Нет кластера,
q6,Расскажите про задачи на текущей работе и продукт,Agima,2025-03-17,162,Проектные вызовы,Soft Skills,Расскажите про задачи на текущей работе и продукт
q1,"Про опыт, спрашивал по конкретной реализации фич на прошлых проектах",Aladdin,2024-11-27,-1,Нет темы,Нет кластера,
q2,Про виртуализацию списков,Aladdin,2024-11-27,97,Виртуализация в React,React,Что такое виртуальный дом в React
q3,Как можно вызвать ререндер child из parent не прокидывая пропсы в child,Aladdin,2024-11-27,-1,Нет темы,Нет кластера,
q4,"Спрашивал о работе веб-сервера Nginx, что это и зачем вообще надо",Aladdin,2024-11-27,116,npm и Nginx в CI,Инструменты,"Спрашивал о работе веб-сервера Nginx, что это и зачем вообще надо"
q5,TS: отличия типов от интерфейса,Aladdin,2024-11-27,74,Интерфейсы и типы в TS,TypeScript,Разница интерфейсов и типов
q6,Utility types в TypeScript,Aladdin,2024-11-27,160,Утилитарные типы TypeScript,TypeScript,Utility types в TypeScript
q7,Методы массивов,Aladdin,2024-11-27,86,Методы работы с массивами,JavaScript Core,Методы массивов
q8,useEffect и useLayoutEffect,Aladdin,2024-11-27,71,Отличия useEffect и useLayoutEffect,React,Отличия useEffect от useLayoutEffect
q9,Дженерики в TypeScript и можно ли указать дженерик в JSX при рендере компонента,Aladdin,2024-11-27,0,Типы и дженерики в TypeScript,TypeScript,Что такое as const в TypeScript?
q10,"useRef и forwardRef, можно ли реф прокинуть в дочерний компонент просто как пропс",Aladdin,2024-11-27,32,Хуки React и рефы,React,"useRef и forwardRef, можно ли реф прокинуть в дочерний компонент просто как пропс"
q1,"Написать каррированную функцию, которая принимает числа аргументами, после всех вызовов идет пустой вызов без аргументов, который свидетельствует об окончании работы функции, если функция сразу вызвана без аргументов — вернуть 0",Aladdin,2024-11-27,13,Функциональное программирование,JavaScript Core,"Реализовать функцию compose, которая принимает несколько функций и возвращает новую функцию, последовательно применяющую переданные функции к аргументу"
q11,Задача на EventLoop,Aladdin,2024-11-27,46,Обработка событий в JavaScript,JavaScript Core,EventLoop
q1,По пункту в резюме: как реализовано скачивание файлов в pdf,Alderasoft,2025-02-07,33,Свойства отображения элементов,Верстка,По пункту в резюме: как реализовано скачивание файлов в pdf
q2,В чем разница между null и undefined,Alderasoft,2025-02-07,-1,Нет темы,Нет кластера,
q3,Что такое Symbol и зачем он нужен,Alderasoft,2025-02-07,-1,Нет темы,Нет кластера,
q4,Пользовался ли var и почему не рекомендуется использовать эту переменную,Alderasoft,2025-02-07,29,Переменные в JavaScript,JavaScript Core,Пользовался ли var и почему не рекомендуется использовать эту переменную
q5,Можно ли через const изменить свойства объекта,Alderasoft,2025-02-07,29,Переменные в JavaScript,JavaScript Core,Пользовался ли var и почему не рекомендуется использовать эту переменную
q6,"Можно ли сделать так, чтобы нельзя было менять свойства объекта (заморозить объект)",Alderasoft,2025-02-07,20,Редукция и рендеринг компонентов,React,"Можно ли сделать так, чтобы нельзя было менять свойства объекта (заморозить объект)"
q7,Что такое замыкание,Alderasoft,2025-02-07,132,Замыкания в программировании,JavaScript Core,Что такое замыкания
q9,"Какие бывают виды функций, как работает контекст и какие есть методы сохранения контекста",Alderasoft,2025-02-07,105,Контекст и менеджеры,React,"Какие бывают виды функций, как работает контекст и какие есть методы сохранения контекста"
q10,Можно ли применять bind/call/apply к стрелочным функциям и почему,Alderasoft,2025-02-07,81,"Методы bind, call, apply",JavaScript Core,call/bind/apply
q11,"Расскажите все про промисы, включая статичные методы промиса, async/await и способы избегания callback hell",Alderasoft,2025-02-07,22,Асинхронное программирование,JavaScript Core,async/await
q12,Какие основные методы массива вы знаете,Alderasoft,2025-02-07,86,Методы работы с массивами,JavaScript Core,Методы массивов
q13,Что такое AbortController и как отменять запросы с помощью axios,Alderasoft,2025-02-07,-1,Нет темы,Нет кластера,
q14,"Делали ли вы дженерики и в каких случаях, например в кастомных утилитах",Alderasoft,2025-02-07,127,Опыт и практики разработки,Soft Skills,"Делали ли вы дженерики и в каких случаях, например в кастомных утилитах"
q15,"В чем разница между interface и type, что такое infer, и разница между any, unknown и never",Alderasoft,2025-02-07,74,Интерфейсы и типы в TS,TypeScript,Разница интерфейсов и типов
q16,Расскажите кратко про React,Alderasoft,2025-02-07,57,Основы React и Suspense,React,Что такое React
q17,Какие способы оптимизации React-приложений вы знаете,Alderasoft,2025-02-07,72,Оптимизация производительности React,React,Какие способы оптимизации React-приложений вы знаете
q18,"Сравните React, Vue и Angular",Alderasoft,2025-02-07,136,Сравнение фреймворков,Инструменты,"Сравните React, Vue и Angular"
q19,Что такое хуки в React,Alderasoft,2025-02-07,28,Хуки в React,React,С какими хуками React вы работали и для чего они используются
q20,"Что такое контекст в React, зачем он нужен и как работает",Alderasoft,2025-02-07,126,Контекст в React,React,"Что такое контекст в React, зачем он нужен и как работает"
q21,"Написать тип для функции multiplyBy2, которая является свойством функции sum: sum принимает два числа и возвращает число, sum.multiplyBy2 принимает два числа и возвращает число, равное sum(a,b) * 2",Alderasoft,2025-02-07,167,Функции суммы и аргументы,Алгоритмы,"Написать тип для функции multiplyBy2, которая является свойством функции sum: sum принимает два числа и возвращает число, sum.multiplyBy2 принимает два числа и возвращает число, равное sum(a,b) * 2"
q1,Какие способы оптимизации ты использовал в своём приложении.,Alfabit,2024-02-21,115,Оптимизация приложений,Производительность,Какие способы оптимизации ты использовал в своём приложении.
q2,"Тебе нужно выполнить объёмную операцию, которая займёт продолжительное время, что нужно сделать, чтобы браузер не тормозил, не завис.",Alfabit,2024-02-21,130,Оптимизация скорости загрузки,Производительность,"Тебе нужно выполнить объёмную операцию, которая займёт продолжительное время, что нужно сделать, чтобы браузер не тормозил, не завис."
q3,Утечка памяти. Как ты с ней борешься и какие инструменты используешь.,Alfabit,2024-02-21,-1,Нет темы,Нет кластера,
q4,"Бывает, что страница прыгает при отрисовке, как этого избежать.",Alfabit,2024-02-21,34,Отрисовка страниц в браузере,Браузеры,Как выполняется отрисовка в браузере
q5,Какие методы защиты ты используешь для своего приложения.,Alfabit,2024-02-21,131,Безопасность веб-приложений,Сеть,Какие методы защиты ты используешь для своего приложения.
q6,Синхронные и асинхронные функции.,Alfabit,2024-02-21,141,Чистые функции и перегрузка,Архитектура,Что такое чистая функция
q7,"Есть сайт, где продают кроссовки. Что будет происходить при его запросе, если использовать SSR и SPA.",Alfabit,2024-02-21,-1,Нет темы,Нет кластера,
q8,Способы оптимизации vue приложений.,Alfabit,2024-02-21,115,Оптимизация приложений,Производительность,Какие способы оптимизации ты использовал в своём приложении.
q9,"Зачем использовать Pinia, если можно обойтись ref.",Alfabit,2024-02-21,7,Функциональный JS & Web API,JavaScript Core,Какие бывают бандлеры
q1,Расскажи про опыт,Algorithmic Brains,2024-07-12,21,Опыт и истории,Soft Skills,Кратко про опыт
q2,"Объясните разницу между var, let и const",Algorithmic Brains,2024-07-12,29,Переменные в JavaScript,JavaScript Core,Пользовался ли var и почему не рекомендуется использовать эту переменную
q3,"Объясните разницу между Cookie, LocalStorage и SessionStorage",Algorithmic Brains,2024-07-12,38,Хранилища данных в браузере,JavaScript Core,sessionStorage vs localStorage
q4,"Что такое callback hell, promise и async/await",Algorithmic Brains,2024-07-12,22,Асинхронное программирование,JavaScript Core,async/await
q5,Какие существуют статические методы у Promise,Algorithmic Brains,2024-07-12,69,Методы Promise,JavaScript Core,Какие существуют статические методы у Promise
q7,"Что выведет метод массива в зависимости от того, какая функция используется: стрелочная или function declaration",Algorithmic Brains,2024-07-12,93,Функции в JavaScript,JavaScript Core,"Что выведет метод массива в зависимости от того, какая функция используется: стрелочная или function declaration"
q8,"Дан массив с повторяющимися цифрами. Нужно получить объект, где ключ — значение из массива, а значение — количество повторений",Algorithmic Brains,2024-07-12,-1,Нет темы,Нет кластера,
q9,"Сделать условный ToDo-лист на React с возможностью редактирования, удаления и переключения режима редактирования пользователя",Algorithmic Brains,2024-07-12,117,ToDo задачи на React,React,"Сделать условный ToDo-лист на React с возможностью редактирования, удаления и переключения режима редактирования пользователя"
q10,Реализовать загрузку данных с использованием Promise.all для параллельного получения userData и postData с последующим обновлением состояния в React,Algorithmic Brains,2024-07-12,112,Работа с промисами,JavaScript Core,Реализовать загрузку данных с использованием Promise.all для параллельного получения userData и postData с последующим обновлением состояния в React
q1,Рассказать про задачи какие делал,Altenar,2025-07-11,24,Интересные и сложные задачи,Soft Skills,Рассказать про задачи какие делал
q2,Какие стейтменеджеры использовал?,Altenar,2025-07-11,41,Менеджеры и стейтменеджеры,Soft Skills,"2 этап - знакомство с менеджерами: рассказ о корпоративной культуре, технике, пересмотре зарплаты, соцпакете и дополнительных бонусах"
q3,Что такое Context в React?,Altenar,2025-07-11,126,Контекст в React,React,"Что такое контекст в React, зачем он нужен и как работает"
q4,Есть два стора в Redux как их объединить?,Altenar,2025-07-11,2,Управление состоянием в JS,React,Middleware в Redux
q5,Зачем нужен тип never? В чем отличие от void?,Altenar,2025-07-11,54,"Типы any, unknown, never",TypeScript,Разница между any / never / unknown
q6,Что такое оптимистический ответ на фронте?,Altenar,2025-07-11,85,Всплытие и погружение событий,JavaScript Core,Всплытие и погружение событий подробно
q1,Где сейчас проживаете?,Altenar,2025-07-08,6,Карьерный поиск,Алгоритмы,Где сейчас проживаете?
q2,Какие хобби?,Altenar,2025-07-08,108,Свободное время и хобби,Soft Skills,Какие хобби?
q3,Как будете выбирать оффер из нескольких?,Altenar,2025-07-08,-1,Нет темы,Нет кластера,
q4,"Представьте что условия в оффере одинаковые, компании одинаковые, собес прошёл везде отлично. Как будете выбирать?",Altenar,2025-07-08,-1,Нет темы,Нет кластера,
q5,Собираетесь ли переезжать?,Altenar,2025-07-08,6,Карьерный поиск,Алгоритмы,Где сейчас проживаете?
q6,Как относитесь к посещению офиса 2 раза в неделю?,Altenar,2025-07-08,6,Карьерный поиск,Алгоритмы,Где сейчас проживаете?
q7,Как вы оцените свой уровень как разработчика? Почему не сеньор?,Altenar,2025-07-08,-1,Нет темы,Нет кластера,
q8,Как развиваетесь в свободное время?,Altenar,2025-07-08,108,Свободное время и хобби,Soft Skills,Какие хобби?
q1,Как для тебя выглядит налаженный процесс постановки задачи?,Altenar,2025-07-08,162,Проектные вызовы,Soft Skills,Расскажите про задачи на текущей работе и продукт
q2,Как была построена работа с аналитиками и дизайнерами?,Altenar,2025-07-08,123,Дизайн и разработка API,Сеть,Как была построена работа с аналитиками и дизайнерами?
q3,"Бывало такое что что-то шло не так в коммуникации, что-то не учли где-то?",Altenar,2025-07-08,-1,Нет темы,Нет кластера,
q4,Работал с zustand или valtio?,Altenar,2025-07-08,8,Опыт работы во фронтенде,Soft Skills,Работал с zustand или valtio?
q5,Почему именно эти библиотеки были выбраны при решении задачи?,Altenar,2025-07-08,59,Библиотеки и графики,Алгоритмы,Почему именно эти библиотеки были выбраны при решении задачи?
q6,"Расскажи как у вас был построен процесс внедрения новых библиотек, кто принимал решение за их внедрение?",Altenar,2025-07-08,59,Библиотеки и графики,Алгоритмы,Почему именно эти библиотеки были выбраны при решении задачи?
q7,Расскажи про свой самый большой факап на работе?,Altenar,2025-07-08,19,Опыт и работа,Soft Skills,Кратко про опыт работы
q8,Что в свободное время делаешь?,Altenar,2025-07-08,108,Свободное время и хобби,Soft Skills,Какие хобби?
q9,Как относишься к мату?,Altenar,2025-07-08,-1,Нет темы,Нет кластера,
q10,Какой лучший мем по твоему мнению на данный момент?,Altenar,2025-07-08,109,Мемоизация в вопросах,JavaScript Core,Какой лучший мем по твоему мнению на данный момент?
q1,Как распределялись задачи на спринт?,Altenar,2025-06-28,51,Оценка и планирование задач,Soft Skills,Опишите порядок выполнения операций в вашем решении задачи с медианой
q2,Как внутри команды договаривались о внедрении новой технологии или библиотеки?,Altenar,2025-06-28,4,Командная работа и взаимодействие,Soft Skills,Как внутри команды договаривались о внедрении новой технологии или библиотеки?
q3,"Были ли моменты, когда твоё решение или решение команды по внедрению технологий не нравилось, и как это решали?",Altenar,2025-06-28,-1,Нет темы,Нет кластера,
q4,Какой у тебя был уровень в команде?,Altenar,2025-06-28,4,Командная работа и взаимодействие,Soft Skills,Как внутри команды договаривались о внедрении новой технологии или библиотеки?
