cluster_id,canonical_question,topics,topic_confidence
40,,,{}
41,,,{}
42,,,{}
43,,,{}
44,,,{}
45,,,{}
46,,,{}
47,,,{}
48,,,{}
49,,,{}
50,,,{}
51,,,{}
52,,,{}
53,,,{}
54,,,{}
55,,,{}
56,,,{}
57,,,{}
58,,,{}
59,,,{}
60,,,{}
61,,,{}
62,,,{}
63,,,{}
64,,,{}
65,,,{}
66,,,{}
67,,,{}
68,,,{}
69,,,{}
70,,,{}
71,,,{}
72,,,{}
73,,,{}
74,,,{}
75,,,{}
76,,,{}
77,,,{}
78,,,{}
79,,,{}
80,,,{}
81,,,{}
82,,,{}
83,,,{}
84,,,{}
85,,,{}
86,,,{}
87,,,{}
88,,,{}
89,,,{}
90,,,{}
91,,,{}
92,,,{}
93,,,{}
94,,,{}
95,,,{}
97,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,,{}
96,Как работают замыкания в JavaScript и как область видимости влияет на их поведение?,,{}
98,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
101,Каковы основные недостатки и ограничения библиотеки Effector в управлении состоянием?,State: Effector/MobX,"{""State: Effector/MobX"": 1.0}"
99,"Что такое React.memo, как он работает и в каких случаях его следует использовать для оптимизации производительности компонентов?",React: ключи/рендер/батчинг/оптимизация,"{""React: ключи/рендер/батчинг/оптимизация"": 0.9499999999999998}"
102,В чём различия между типами и интерфейсами в TypeScript и когда следует использовать каждый из них?,TS: типы vs интерфейсы,"{""TS: типы vs интерфейсы"": 1.0}"
100,Что такое FLUX и как он используется для управления состоянием в приложениях?,"State: Redux и middleware, Архитектура/SOLID/KISS/DRY/YAGNI, Паттерны проектирования","{""State: Redux и middleware"": 0.9, ""Архитектура/SOLID/KISS/DRY/YAGNI"": 0.6999999999999998, ""Паттерны проектирования"": 0.7333333333333334}"
103,В чем разница между типами и интерфейсами в TypeScript и когда следует использовать каждый из них?,,{}
104,Что такое оператор satisfies в TypeScript и чем он отличается от оператора as?,TS: overloads/satisfies/decorators,"{""TS: overloads/satisfies/decorators"": 0.9499999999999998}"
105,"Объясните, как работают замыкания в JavaScript и как область видимости влияет на их поведение.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
107,"Объясните, как работают замыкания в JavaScript и как они влияют на область видимости переменных.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
108,"Объясните, как работают замыкания в JavaScript и как область видимости влияет на их поведение.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
106,"Как реализовать шахматную доску с управлением королём, ограниченным ходами на соседние клетки, и визуализацией возможных ходов?","Кодинг-задачи (JS/React), Алгоритмы: структуры данных/Big-O","{""Кодинг-задачи (JS/React)"": 0.9, ""Алгоритмы: структуры данных/Big-O"": 0.6999999999999998}"
109,"Объясните, что такое замыкания в JavaScript и как они работают с областью видимости.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
110,"Расскажите о вашем опыте работы и задачах на текущем месте работы, а также о продукте, над которым вы трудитесь.",Поведенческие/процессы/коммуникации,"{""Поведенческие/процессы/коммуникации"": 0.9833333333333334}"
112,Как работают замыкания в JavaScript и как область видимости влияет на их поведение?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
111,"Объясните, как работают замыкания и область видимости в JavaScript и приведите примеры их использования.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
116,"Объясните, как работают замыкания в JavaScript и как они влияют на область видимости переменных.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
114,Что такое веб-сервер Nginx и для чего он используется?,"Net: HTTP/HTTPS/HTTP2/HTTP3, Node.js/SSR/Next.js","{""Net: HTTP/HTTPS/HTTP2/HTTP3"": 0.925, ""Node.js/SSR/Next.js"": 0.7}"
115,В чем различия между типами и интерфейсами в TypeScript и когда следует использовать каждый из них?,TS: типы vs интерфейсы,"{""TS: типы vs интерфейсы"": 1.0}"
113,Как вызвать повторный рендер дочернего компонента из родительского без передачи пропсов?,React: ключи/рендер/батчинг/оптимизация,"{""React: ключи/рендер/батчинг/оптимизация"": 0.9499999999999998}"
117,Какие методы массивов существуют в JavaScript и как их применять для обработки данных?,JS: методы массивов/объектов,"{""JS: методы массивов/объектов"": 1.0}"
119,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
118,В чем различия между useEffect и useLayoutEffect в React и когда следует использовать каждый из них?,,{}
120,Можно ли передавать ref в дочерний компонент React как обычный пропс и как правильно использовать useRef и forwardRef для этого?,React: useRef/forwardRef/useLayoutEffect,"{""React: useRef/forwardRef/useLayoutEffect"": 0.9833333333333334}"
121,"Объясните, как работают замыкания и область видимости в JavaScript и приведите примеры их использования.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
122,"Объясните, как работают замыкания в JavaScript и как они влияют на область видимости переменных.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
123,Как реализовать скачивание файлов в формате PDF на клиенте с использованием JavaScript?,"JS: методы массивов/объектов, Browser: Web APIs (Workers/ServiceWorker/IDB)","{""JS: методы массивов/объектов"": 0.6, ""Browser: Web APIs (Workers/ServiceWorker/IDB)"": 0.9}"
124,В чем разница между null и undefined в JavaScript и как они влияют на типы и поведение кода?,JS: типы и приведение типов,"{""JS: типы и приведение типов"": 0.9666666666666667}"
125,Что такое Symbol в JavaScript и для чего он используется?,JS: типы и приведение типов,"{""JS: типы и приведение типов"": 0.95}"
126,Почему не рекомендуется использовать var в JavaScript и какие альтернативы предпочтительнее?,"JS: типы и приведение типов, JS: замыкания и область видимости","{""JS: типы и приведение типов"": 0.3, ""JS: замыкания и область видимости"": 0.9}"
128,"Как в JavaScript сделать объект неизменяемым, чтобы нельзя было менять его свойства?",JS: типы и приведение типов,"{""JS: типы и приведение типов"": 0.8500000000000001}"
127,"Можно ли изменить свойства объекта, объявленного через const, и как это работает в JavaScript?",JS: типы и приведение типов,"{""JS: типы и приведение типов"": 0.9}"
129,"Какие существуют виды функций в JavaScript, как работает контекст вызова и какие методы позволяют сохранить или изменить этот контекст?",JS: this/bind/call/apply,"{""JS: this/bind/call/apply"": 0.9500000000000001}"
130,"Можно ли применять bind, call и apply к стрелочным функциям в JavaScript, и как это влияет на контекст this?",JS: this/bind/call/apply,"{""JS: this/bind/call/apply"": 1.0}"
131,"Объясните, как работают промисы в JavaScript, включая их методы, использование async/await и способы предотвращения callback hell.",Async: промисы/async-await,"{""Async: промисы/async-await"": 1.0}"
132,Какие основные методы массивов в JavaScript вы знаете и как их применяете?,JS: методы массивов/объектов,"{""JS: методы массивов/объектов"": 1.0}"
133,Что такое AbortController и как использовать его для отмены HTTP-запросов в JavaScript?,Async: таймеры/AbortController/отмена,"{""Async: таймеры/AbortController/отмена"": 1.0}"
134,В каких случаях вы использовали дженерики в TypeScript и как они помогают создавать универсальные утилиты?,TS: generics и infer,"{""TS: generics и infer"": 1.0}"
136,"Объясните, как работают замыкания и область видимости в JavaScript и приведите примеры их использования.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
137,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
138,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
135,"В чем различия между типами и интерфейсами в TypeScript, и как работают generics, utility-типы и специальные типы any, unknown, never?","TS: типы vs интерфейсы, TS: generics и infer, TS: utility/conditional/mapped types, TS: any/unknown/never/void","{""TS: типы vs интерфейсы"": 0.9, ""TS: generics и infer"": 0.8000000000000002, ""TS: utility/conditional/mapped types"": 0.6999999999999998, ""TS: any/unknown/never/void"": 0.7666666666666666}"
139,Как работают замыкания в JavaScript и как область видимости влияет на их поведение?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
140,Что такое замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
141,Как определить типы для функции с дополнительными свойствами в TypeScript?,TS: типы vs интерфейсы,"{""TS: типы vs интерфейсы"": 0.9166666666666666}"
142,Какие методы и подходы ты использовал для оптимизации производительности в своих приложениях?,Browser: рендеринг/перфоманс (LCP/CLS),"{""Browser: рендеринг/перфоманс (LCP/CLS)"": 0.9333333333333332}"
143,Как избежать блокировки браузера при выполнении длительных операций в JavaScript?,Async: event loop и микрозадачи,"{""Async: event loop и микрозадачи"": 0.95}"
144,Что такое утечка памяти в JavaScript и как вы её обнаруживаете и устраняете?,"JS: типы и приведение типов, Browser: рендеринг/перфоманс (LCP/CLS)","{""JS: типы и приведение типов"": 0.3, ""Browser: рендеринг/перфоманс (LCP/CLS)"": 0.7666666666666666}"
146,"Объясните, как работают замыкания и область видимости в JavaScript и приведите примеры их использования.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
145,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
147,Объясните различия между синхронными и асинхронными функциями в JavaScript и их применение.,"Async: промисы/async-await, Async: event loop и микрозадачи","{""Async: промисы/async-await"": 0.9, ""Async: event loop и микрозадачи"": 0.8000000000000002}"
148,"Как работает SSR и SPA при загрузке сайта, и в чем их ключевые отличия?","Node.js/SSR/Next.js, Browser: рендеринг/перфоманс (LCP/CLS)","{""Node.js/SSR/Next.js"": 0.9166666666666666, ""Browser: рендеринг/перфоманс (LCP/CLS)"": 0.8}"
149,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
151,"Объясните, как работают замыкания в JavaScript и приведите примеры их использования.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
150,В чем преимущества использования Pinia по сравнению с простым ref для управления состоянием во Vue?,State: Zustand/Valtio,"{""State: Zustand/Valtio"": 0.9}"
153,"В чем разница между Cookie, LocalStorage и SessionStorage и каковы особенности их использования в браузере?",Browser: storage/cookies/session/local,"{""Browser: storage/cookies/session/local"": 1.0}"
152,"В чем различия между var, let и const в JavaScript и как они влияют на область видимости и изменение значений?","JS: типы и приведение типов, JS: замыкания и область видимости","{""JS: типы и приведение типов"": 0.3666666666666667, ""JS: замыкания и область видимости"": 0.9}"
155,"Как работают прототипы и классы в JavaScript, и как они связаны между собой?",JS: прототипы и классы,"{""JS: прототипы и классы"": 1.0}"
154,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
156,Как различается поведение методов массива при использовании стрелочных функций и function declaration в качестве коллбэков?,JS: методы массивов/объектов,"{""JS: методы массивов/объектов"": 0.9666666666666667}"
157,Как получить объект с подсчетом количества повторений каждого элемента в массиве?,JS: методы массивов/объектов,"{""JS: методы массивов/объектов"": 0.9833333333333334}"
158,"Как реализовать ToDo-лист на React с возможностью добавления, редактирования, удаления и переключения режимов редактирования элементов?",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
159,Как реализовать параллельную загрузку данных с помощью Promise.all и обновить состояние в React после получения всех результатов?,"Async: промисы/async-await, Кодинг-задачи (JS/React)","{""Async: промисы/async-await"": 0.9, ""Кодинг-задачи (JS/React)"": 0.8000000000000002}"
162,Как объединить два стора в Redux и какие подходы для этого существуют?,State: Redux и middleware,"{""State: Redux и middleware"": 1.0}"
163,В чем различия между типами и интерфейсами в TypeScript и когда следует использовать каждый из них?,TS: типы vs интерфейсы,"{""TS: типы vs интерфейсы"": 1.0}"
161,"Объясните, как работают замыкания в JavaScript и как они влияют на область видимости переменных.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
160,"Объясните, как работают замыкания в JavaScript и как область видимости влияет на их поведение.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
167,"Объясните, как работают замыкания и область видимости в JavaScript и приведите примеры их использования.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
164,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
165,"Объясните, как работают замыкания в JavaScript и приведите примеры их использования.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
166,"Объясните, как работают замыкания в JavaScript и как область видимости влияет на их поведение.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
169,Объясните различия между типами и интерфейсами в TypeScript и случаи их применения.,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
171,Как вы оцениваете свой текущий уровень как разработчика и почему не достигли уровня сеньора?,Поведенческие/процессы/коммуникации,"{""Поведенческие/процессы/коммуникации"": 0.95}"
170,"Объясните, как работают замыкания в JavaScript и приведите примеры их использования.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
168,Как вы выбираете между равными предложениями о работе в одинаковых компаниях?,Поведенческие/процессы/коммуникации,"{""Поведенческие/процессы/коммуникации"": 1.0}"
172,"Объясните, как работают замыкания в JavaScript и приведите примеры их использования.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
173,"Объясните, как работают замыкания в JavaScript и как область видимости влияет на их поведение.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
174,"Как работают замыкания и область видимости в JavaScript, и как они влияют на доступ к переменным?",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
175,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
176,"Объясните, как работают замыкания в JavaScript и как они влияют на область видимости переменных.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
179,"Объясните, как работает замыкание в JavaScript и приведите примеры его использования.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
180,"Объясните, как работают замыкания в JavaScript и в каких случаях их применяют.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
178,Как в вашей команде организован процесс принятия решений и внедрения новых библиотек?,Поведенческие/процессы/коммуникации,"{""Поведенческие/процессы/коммуникации"": 0.9499999999999998}"
177,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
183,"Как работает область видимости и замыкания в JavaScript, и как они влияют на доступ к переменным?",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
181,"Объясните, как работают замыкания в JavaScript и как область видимости влияет на их поведение.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
184,Как в JavaScript работает механизм замыканий и область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 0.9833333333333334}"
182,"Объясните, как работают замыкания в JavaScript и как область видимости влияет на их поведение.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
185,Как вы решаете конфликты или разногласия в команде по поводу выбора технологий и подходов?,Поведенческие/процессы/коммуникации,"{""Поведенческие/процессы/коммуникации"": 0.9833333333333334}"
187,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
186,"Объясните, как работают замыкания в JavaScript и как они влияют на область видимости переменных.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
188,В чем различия и особенности использования типов и интерфейсов в TypeScript?,TS: типы vs интерфейсы,"{""TS: типы vs интерфейсы"": 1.0}"
190,Как работают слайсы в Redux и могут ли они взаимодействовать между собой?,State: Redux и middleware,"{""State: Redux и middleware"": 1.0}"
191,"Как работает механизм замыканий и область видимости в JavaScript, и как их использовать на практике?",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
189,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
192,"Как создать и изолировать несколько инстансов одного Redux стора, например, для использования в разных контекстах?","State: Redux и middleware, State: Context/Reducer","{""State: Redux и middleware"": 0.9, ""State: Context/Reducer"": 0.7333333333333334}"
194,"Объясните, как работают замыкания в JavaScript и их влияние на область видимости переменных.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
195,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
193,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
196,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
197,Как работает механизм замыканий в JavaScript и как область видимости влияет на доступ к переменным?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
198,"Объясните, как работают замыкания в JavaScript и как они влияют на область видимости переменных.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
199,"Как работают замыкания и область видимости в JavaScript, и как их использовать на практике?",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
200,"Как устроены замыкания и область видимости в JavaScript, и как они влияют на поведение функций?",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
201,"Как написать функцию на JavaScript, которая генерирует случайный цвет в формате HEX?",Кодинг-задачи (JS/React),"{""Кодинг-задачи (JS/React)"": 0.95}"
203,Как реализовать функцию генерации уникального 4-значного кода с циклическим сбросом после исчерпания всех вариантов?,Кодинг-задачи (JS/React),"{""Кодинг-задачи (JS/React)"": 0.9666666666666667}"
202,"Объясните, как работают замыкания в JavaScript и приведите примеры их использования.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
204,Какие существуют методы генерации уникальных 4-значных кодов с возможностью сброса после исчерпания всех вариантов?,"Алгоритмы: структуры данных/Big-O, Алгоритмы: строки/массивы","{""Алгоритмы: структуры данных/Big-O"": 0.8333333333333334, ""Алгоритмы: строки/массивы"": 0.7}"
205,Сколько нужно одобрений для слияния фичи в основную ветку?,CI/CD и DevOps (Docker),"{""CI/CD и DevOps (Docker)"": 0.9499999999999998}"
207,Как вы организуете процесс просмотра и проверки новых функций в команде?,Поведенческие/процессы/коммуникации,"{""Поведенческие/процессы/коммуникации"": 0.9666666666666667}"
206,Какие инструменты для линтинга и форматирования кода вы использовали в проектах и почему?,Tooling: бандлеры (webpack/vite/rollup),"{""Tooling: бандлеры (webpack/vite/rollup)"": 0.7666666666666666}"
208,Как работает механизм замыканий и область видимости в JavaScript?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
209,Какие жизненные циклы реализует хук useEffect в React и как они влияют на поведение компонента?,React: хуки useState/useEffect,"{""React: хуки useState/useEffect"": 1.0}"
210,"Объясните, как работают замыкания в JavaScript и как они влияют на область видимости переменных.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
211,"Объясните, как работает event loop в JavaScript и его роль в обработке асинхронных задач.",Async: event loop и микрозадачи,"{""Async: event loop и микрозадачи"": 1.0}"
212,"Объясните, как работают замыкания в JavaScript и как область видимости влияет на их поведение.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
214,Как вы предпочитаете решать задачи: использовать готовые решения или создавать собственные?,Поведенческие/процессы/коммуникации,"{""Поведенческие/процессы/коммуникации"": 0.95}"
215,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 0.9833333333333334}"
216,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
213,"Как реализовать функцию группировки массива объектов по заданному полю, возвращающую объект с ключами и массивами соответствующих элементов?","Алгоритмы: структуры данных/Big-O, Кодинг-задачи (JS/React)","{""Алгоритмы: структуры данных/Big-O"": 0.8333333333333334, ""Кодинг-задачи (JS/React)"": 0.75}"
217,"Как устроены и работают замыкания в JavaScript, и как они влияют на область видимости переменных?",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
219,"Что такое замыкания в JavaScript, как они работают и в каких случаях применяются?",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
220,Как работают замыкания в JavaScript и как область видимости влияет на их поведение?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
218,Какие преимущества использования React по сравнению с нативным JavaScript и какие методы оптимизации в React вы знаете?,"React: основы/JSX/VDOM/reconciliation, React: ключи/рендер/батчинг/оптимизация","{""React: основы/JSX/VDOM/reconciliation"": 0.9, ""React: ключи/рендер/батчинг/оптимизация"": 0.8}"
221,В чем недостатки использования Math.random() для генерации ключей в React и как это влияет на производительность и корректность рендеринга?,React: ключи/рендер/батчинг/оптимизация,"{""React: ключи/рендер/батчинг/оптимизация"": 0.9833333333333334}"
224,Что такое дженерики в TypeScript и как их использовать?,TS: generics и infer,"{""TS: generics и infer"": 1.0}"
222,С какими стейт-менеджерами вы работали и какой опыт их использования у вас есть?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
223,"Объясните, как работают замыкания и область видимости в JavaScript и приведите примеры их использования.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
226,"Объясните, как работает область видимости и замыкания в JavaScript и приведите примеры их использования.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
225,Какие utility-типы в TypeScript вы знаете и как их применяли на практике?,TS: utility/conditional/mapped types,"{""TS: utility/conditional/mapped types"": 1.0}"
228,Как реализовать функцию генерации случайного HEX цвета в формате #xxxxxx?,Кодинг-задачи (JS/React),"{""Кодинг-задачи (JS/React)"": 0.9499999999999998}"
227,"Как определить порядок вывода в консоль чисел в коде с использованием setTimeout, Promise и event loop в JavaScript?",Async: event loop и микрозадачи,"{""Async: event loop и микрозадачи"": 1.0}"
230,"Объясните, как работают замыкания в JavaScript и как область видимости влияет на их поведение.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
229,Как эффективно группировать массив объектов по определённому полю с использованием reduce и обрабатывать ошибки при асинхронном получении данных?,"JS: методы массивов/объектов, Async: промисы/async-await","{""JS: методы массивов/объектов"": 0.9, ""Async: промисы/async-await"": 0.8000000000000002}"
232,Что такое замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
231,"Как вы подходите к диагностике и решению ошибок в UI, включая ошибки, возникающие во внешних библиотеках?",Поведенческие/процессы/коммуникации,"{""Поведенческие/процессы/коммуникации"": 0.9}"
234,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
233,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
235,"Объясните, как работает область видимости и замыкания в JavaScript, и приведите примеры их использования.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
236,Как работает механизм замыканий в JavaScript и как область видимости влияет на доступ к переменным?,,{}
237,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
238,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
239,Что такое стек вызовов в JavaScript и как он управляет порядком выполнения функций?,"JS: типы и приведение типов, Async: event loop и микрозадачи","{""JS: типы и приведение типов"": 0.25, ""Async: event loop и микрозадачи"": 0.8666666666666667}"
