"interview_id","company","source","type","text","date","time","salary_range","level","duration","topics","complexity","question_number","sender"
"Яндекс_2025-07-17_1_1_5_a1788141","Яндекс","json","code","function compose(...callbacks) { return function (...args) { const res = callbacks.reduceRight((acc, fn) => [fn(...args)], args); return res[0]; } }","2025-07-17","20:49:57","","","","","","","Даниил"
"Яндекс_2025-07-14_1_2_0_96fcc226","Яндекс","json","question","Как отменить распространения события","2025-07-14","13:42:11","250","","","","","","Ivan Kulyaev"
"Яндекс_2025-07-14_1_2_1_145bec56","Яндекс","json","question","Где решаю задачи и как к ним готовлюсь","2025-07-14","13:42:11","250","","","","","","Ivan Kulyaev"
"Яндекс_2025-07-14_1_2_2_0e65c7de","Яндекс","json","question","Как юзаю AI в работе","2025-07-14","13:42:11","250","","","","","","Ivan Kulyaev"
"Яндекс_2025-07-13_1_3_0_61146a74","Яндекс","json","code","const Todo = () => { const [todoItems, setTodoItems] = useState([]); const [completedItemIds, setCompletedItemIds] = useState([]); // Загрузка из localStorage useEffect(() => { const saved = localStorage.getItem('todos'); if (saved) { try { const parsed = JSON.parse(saved); setTodoItems(parsed.todoItems || []); setCompletedItemIds(parsed.completedItemIds || []); }","2025-07-13","04:26:44","","","","","","","Ruslan"
"Яндекс_2025-07-13_1_3_1_00b21f51","Яндекс","json","code","const generateID = () => `${Date.now().toString(36)}-${Math.random().toString(36).substr(2, 9)}`;","2025-07-13","04:26:44","","","","","","","Ruslan"
"Яндекс_2025-07-11_1_4_0_27b6c491","Яндекс","json","question","Что такое всплытие событий?","2025-07-11","10:52:07","","","","","","3","Эмир"
"Яндекс_2025-07-11_1_4_1_8299550e","Яндекс","json","task","Что такое и для чего чего нужен Debounce напиши его","2025-07-11","10:52:07","","","","","","","Эмир"
"Яндекс_2025-07-11_1_4_2_c7717de9","Яндекс","json","question","Что такое и для чего нужен Throttle","2025-07-11","10:52:07","","","","","","","Эмир"
"Яндекс_2025-07-11_1_4_3_67838042","Яндекс","json","code","function throttle(func, delay) { let lastCall = 0; return function (...args) { const now = Date.now(); if (now - lastCall >= delay) { lastCall = now; func.apply(this, args); }","2025-07-11","10:52:07","","","","","","","Эмир"
"Яндекс_2025-07-11_1_4_4_1553cf42","Яндекс","json","code","function throttle(func, delay) { let lastCall = 0; return function (...args) { const now = Date.now(); if (now - lastCall >= delay) { lastCall = now; func.apply(this, args); } }; }","2025-07-11","10:52:07","","","","","","","Эмир"
"Яндекс_2025-07-10_1_5_0_f09bf152","Яндекс","json","code","function runOnce(fn) { let isCalled = false; return (...args) => { if (isCalled) { return undefined; // уже вызывалась — ничего не делаем }","2025-07-10","20:28:31","","","","","","","Виталий"
"Яндекс_2025-07-10_1_5_1_29344b6b","Яндекс","json","code","function get(url, retriesLeft = 5) { return new Promise((resolve, reject) => { fetch(url) .then(response => { if (!response.ok) { throw new Error(response.status); }","2025-07-10","20:28:31","","","","","","","Виталий"
"Яндекс_2025-07-10_1_5_2_c6c844f6","Яндекс","json","code","class MaxStack { constructor() { this.stack = [];// this.maxStack = [] }","2025-07-10","20:28:31","","","","","","","Виталий"
"Яндекс_2025-07-10_1_5_3_fab4408f","Яндекс","json","code","function runOnce(fn) { let isCalled = false; return (...args) => { if (isCalled) { return undefined; // уже вызывалась — ничего не делаем } isCalled = true; return fn(...args); // вызываем fn только один раз }; }","2025-07-10","20:28:31","","","","","","","Виталий"
"Яндекс_2025-07-10_1_5_4_eb0d354a","Яндекс","json","code","function get(url, retriesLeft = 5) { return new Promise((resolve, reject) => { fetch(url) .then(response => { if (!response.ok) { throw new Error(response.status); } return response.json(); }) .then(data => resolve(data)) .catch(error => { if (retriesLeft <= 1) { reject(new Error(""Заданный URL недоступен"")); } else { get(url, retriesLeft - 1).then(resolve).catch(reject); } }); }); }","2025-07-10","20:28:31","","","","","","","Виталий"
"Яндекс_2025-07-09_1_6_0_22e5cc1a","Яндекс","json","question","По мимо задач по разработке новых фич, чем еще занимался?","2025-07-09","15:06:36","250","","","","","6","Артем Покатилов"
"Яндекс_2025-07-09_1_6_1_a1d54e4b","Яндекс","json","question","Расскажи про задачи интересные","2025-07-09","15:06:36","250","","","","","","Артем Покатилов"
"Яндекс_2025-07-09_1_6_2_cdb57de0","Яндекс","json","question","Расскажи про процессы в команде какие были","2025-07-09","15:06:36","250","","","","","","Артем Покатилов"
"Яндекс_2025-07-09_1_6_3_74e35b26","Яндекс","json","question","Какими инструментами пользовались, когда падал прод","2025-07-09","15:06:36","250","","","","","","Артем Покатилов"
"Яндекс_2025-07-07_1_7_1_e527758d","Яндекс","json","code","function sleep(duration) { // Возвращаем новый промис return new Promise(resolve => { // Используем setTimeout для задержки setTimeout(() => { // После завершения задержки, вызываем resolve промиса resolve() }","2025-07-07","15:36:45","300","","","","","","Fetisov Artem"
"Яндекс_2025-07-07_1_7_2_3fddccb8","Яндекс","json","code","async function check() { const TIMEOUT_MS = 1000 // Оборачиваем каждый вызов в Promise.race с таймаутом const withTimeout = url => { return Promise.race([ checkResult(url, solution), // основной вызов new Promise( ( _, reject // таймаут ) => setTimeout(() => reject(new Error('timeout')), TIMEOUT_MS) ), ]) }","2025-07-07","15:36:45","300","","","","","","Fetisov Artem"
"Яндекс_2025-07-07_1_7_3_30e20e47","Яндекс","json","code","function intersection(user1, user2) { let i = 0; let j = 0; const result = []; while (i < user1.length && j < user2.length) { const [start1, end1] = user1[i]; const [start2, end2] = user2[j]; // вычисляем пересечение const start = Math.max(start1, start2); const end = Math.min(end1, end2); if (start < end) { result.push([start, end]); }","2025-07-07","15:36:45","300","","","","","","Fetisov Artem"
"Яндекс_2025-07-07_1_7_5_bd134880","Яндекс","json","code","function sleep(duration) { // Возвращаем новый промис return new Promise(resolve => { // Используем setTimeout для задержки setTimeout(() => { // После завершения задержки, вызываем resolve промиса resolve() }, duration) }) }","2025-07-07","15:36:45","300","","","","","","Fetisov Artem"
"Яндекс_2025-07-07_1_8_0_a47efeed","Яндекс","json","task","/* interface Message { id: number text: string } Id самого первого сообщения = 1, а id каждого следующего сообщения на 1 больше, чем id предыдущего. Нам нужно выводить сообщения в правильном порядке, однако сервер не гарантирует правильный порядок сообщений, отправляемых в наше приложение. Таймлайн: (приходит) 7 1 2 3 6 5 4 8 (рисунок) . 1 2 3 . . 4 5 6 7 8 Сообщения от сервера приходят в обработчик функции connect: connect((msg) => { ... }); Отображать сообщения нужно с помощью функции `render`: render(msg) */ const solution = (connect, render) => {}; function solution(connect, render) { const map = new Map(); // Храним сообщения по id let currId = 1; connect((msg) => { map.set(msg.id, msg); // Просто сохраняем сообщение по id // Пока есть сообщение с ожидаемым id — рендерим и двигаемся дальше while (map.has(currId)) { const messageToRender = map.get(currId); render(messageToRender); // Вызываем render прямо сейчас map.dele","2025-07-07","12:45:39","240","","","","","1","Никита"
"Яндекс_2025-07-07_1_8_1_14ab6735","Яндекс","json","code","function solution(connect, render) { const map = new Map(); // Храним сообщения по id let currId = 1; connect((msg) => { map.set(msg.id, msg); // Просто сохраняем сообщение по id // Пока есть сообщение с ожидаемым id — рендерим и двигаемся дальше while (map.has(currId)) { const messageToRender = map.get(currId); render(messageToRender); // Вызываем render прямо сейчас map.delete(currId); // Удаляем отрисованное сообщение currId++; }","2025-07-07","12:45:39","240","","","","","","Никита"
"Яндекс_2025-07-07_1_8_2_02b31ec5","Яндекс","json","code","function parallelLimit(urls, limit, callback) { // Если limit больше количества URL, устанавливаем его равным длине массива URL limit = Math.min(limit, urls.length); let results = new Array(urls.length); let active = 0; let index = 0; const cache = new Map(); // Добавляем кэш для мемоизации function processNext() { if (index >= urls.length && active === 0) { callback(results); return; }","2025-07-07","12:45:39","240","","","","","","Никита"
"Яндекс_2025-07-07_1_8_3_12e2883a","Яндекс","json","code","function parallelLimit(urls, limit, callback) { // Если limit больше количества URL, устанавливаем его равным длине массива URL limit = Math.min(limit, urls.length); let results = new Array(urls.length); let active = 0; let index = 0; const cache = new Map(); // Добавляем кэш для мемоизации function processNext() { if (index >= urls.length && active === 0) { callback(results); return; } while (index < urls.length && active < limit) { const currIndex = index; const url = urls[currIndex]; index++; active++; // Проверяем наличие URL в кэше if (cache.has(url)) { // Если URL уже в кэше, берём результат оттуда results[currIndex] = cache.get(url); active--; // Используем setTimeout для асинхронности и предотвращения переполнения стека se","2025-07-07","12:45:39","240","","","","","","Никита"
"Яндекс_2025-07-07_1_9_0_0e4da260","Яндекс","json","code","function solution(connect, render) { // Храним сообщения в Map, где ключ - id сообщения, значение - само сообщение const messages = new Map(); // Ожидаем сообщение с этим id следующим let nextExpectedId = 1; connect(function onMessage(message) { // Добавляем сообщение в Map messages.set(message.id, message); // Пока есть ожидаемое сообщение, рендерим его и увеличиваем nextExpectedId while (messages.has(nextExpectedId)) { render(messages.get(nextExpectedId)); messages.delete(nextExpectedId); nextExpectedId++; }","2025-07-07","09:38:13","300","","","","","","Ivan"
"Яндекс_2025-07-04_1_10_0_62ce0091","Яндекс","json","code","function getRoute(tickets = [], start) { const map = new Map() const res = [] let finishCity for(const el of tickets){ map.set(el.from, el) }","2025-07-04","13:50:58","250","","","","","","Sodnom Tyksheev"
"Яндекс_2025-07-01_1_11_0_a5c76f9e","Яндекс","json","code","function f(n) { // Внутри функции создается локальная переменная `n`, которая является копией // значения, переданного в функцию. Изменение этой локальной переменной // не влияет на внешнюю переменную `n`. n = 3; }","2025-07-01","16:21:23","","","","","","","Aintripin"
"Яндекс_2025-07-01_1_11_1_fa214544","Яндекс","json","code","function f1(o) { // В функцию передается ссылка на объект. Переменные `o` (внутри) и `obj` (снаружи) // указывают на один и тот же объект в памяти. // Мы мутируем (изменяем) свойство этого объекта. o.a = 5; }","2025-07-01","16:21:23","","","","","","","Aintripin"
"Яндекс_2025-07-01_1_11_2_3a414e18","Яндекс","json","code","function f2(o) { // Здесь происходит не мутация объекта, а переприсваивание локальной // переменной `o`. Теперь она указывает на совершенно новый объект. // Связь с исходным объектом (на который указывает `obj2`) теряется. o = { hello: 1 }","2025-07-01","16:21:23","","","","","","","Aintripin"
"Яндекс_2025-07-01_1_11_3_83a1e028","Яндекс","json","code","var obj2 = { a: 1 }; // Переименовал, чтобы избежать ошибки Redeclaration of var obj","2025-07-01","16:21:23","","","","","","","Aintripin"
"Яндекс_2025-07-01_1_11_4_3bd1e08e","Яндекс","json","code","function f2(o) { // Здесь происходит не мутация объекта, а переприсваивание локальной // переменной `o`. Теперь она указывает на совершенно новый объект. // Связь с исходным объектом (на который указывает `obj2`) теряется. o = { hello: 1 }; }","2025-07-01","16:21:23","","","","","","","Aintripin"
"Яндекс_2025-07-01_1_12_0_7577b523","Яндекс","json","question","Что такое псевдомассив","2025-07-01","14:28:08","300","","","","","","Alexander Biryukov"
"Яндекс_2025-07-01_1_12_1_73fedce8","Яндекс","json","question","Какие сложности алгоритмов бывают","2025-07-01","14:28:08","300","","","","","","Alexander Biryukov"
"Яндекс_2025-07-01_1_12_2_c7555946","Яндекс","json","code","function strjoin(separator, ...arr) { console.log(arguments) return arr.join(separator); }","2025-07-01","14:28:08","300","","","","","","Alexander Biryukov"
"Яндекс_2025-07-01_1_12_3_3cdfee96","Яндекс","json","code","function callLimit(fn, limit, callback) { let count = 0 // Счётчик вызовов // Обёртка над исходной функцией function wrapper(...args) { if (count >= limit) return // Прекратить выполнение, если лимит превышен count++ // Увеличить счётчик // Если вызов достиг лимита — вызвать callback (если он передан) if (count === limit && typeof callback === 'function') { callback() }","2025-07-01","14:28:08","300","","","","","","Alexander Biryukov"
"Яндекс_2025-07-01_1_12_4_0a9e4970","Яндекс","json","code","const timelimited = function (fn, t) { return function (...args) { return new Promise((resolve, reject) => { // Запускаем асинхронную функцию const fnPromise = fn(...args).then(resolve).catch(reject); // Устанавливаем таймер на t миллисекунд const timer = setTimeout(() => { reject(""Time limit exceeded""); // Реджектим, если время истекло }","2025-07-01","14:28:08","300","","","","","","Alexander Biryukov"
"Яндекс_2025-07-01_1_12_5_71e840a5","Яндекс","json","code","class MaxStack { constructor() { this.stack = []; // Основной стек this.maxStack = []; // Вспомогательный стек для хранения максимумов }","2025-07-01","14:28:08","300","","","","","","Alexander Biryukov"
"Яндекс_2025-06-26_1_14_0_4ea57df6","Яндекс","json","code","function any(promises) { return new Promise((resolve, reject) => { const errors = []; let rejCount = 0; promises.forEach((p, i) => { Promise.resolve(p) .then(resolve) .catch((err) => { errors[i] = err; rejCount++; if (rejCount === promises.length) { reject(new AggregateError(errors, 'No Promise in any was resolved')); }","2025-06-26","12:32:30","","","","","","","Alexander K"
"Яндекс_2025-06-26_1_14_1_6e5150ac","Яндекс","json","code","function runOnce(fn) { let isCalled = false; return function (...args) { if (isCalled) { return undefined; }","2025-06-26","12:32:30","","","","","","","Alexander K"
"Яндекс_2025-06-26_1_14_2_f5adcc6a","Яндекс","json","code","function compose(...funcs) { return function (...args) { return funcs.reduceRight((acc, fn) => { return [fn(...acc)]; }","2025-06-26","12:32:30","","","","","","","Alexander K"
"Яндекс_2025-06-26_1_14_3_1ac51dc1","Яндекс","json","code","class MaxStack { constructor() { this.stack = []; this.maxStack = []; }","2025-06-26","12:32:30","","","","","","","Alexander K"
"Яндекс_2025-06-26_1_14_4_158c7a6d","Яндекс","json","code","function any(promises) { return new Promise((resolve, reject) => { const errors = []; let rejCount = 0; promises.forEach((p, i) => { Promise.resolve(p) .then(resolve) .catch((err) => { errors[i] = err; rejCount++; if (rejCount === promises.length) { reject(new AggregateError(errors, 'No Promise in any was resolved')); } }); }); }); }","2025-06-26","12:32:30","","","","","","","Alexander K"
"Яндекс_2025-06-26_1_14_5_d3ff8fa4","Яндекс","json","code","function runOnce(fn) { let isCalled = false; return function (...args) { if (isCalled) { return undefined; } isCalled = true; return fn(...args); } }","2025-06-26","12:32:30","","","","","","","Alexander K"
"Яндекс_2025-06-26_1_14_6_754a8a15","Яндекс","json","code","function compose(...funcs) { return function (...args) { return funcs.reduceRight((acc, fn) => { return [fn(...acc)]; }, args)[0]; }; }","2025-06-26","12:32:30","","","","","","","Alexander K"
"Яндекс_2025-06-24_1_15_0_d09c74e3","Яндекс","json","task","Сделай такую обёртку над функцией, чтобы она вызывалась только один раз - при первом вызове","2025-06-24","13:48:29","250","","","","","","Sodnom Tyksheev"
"Яндекс_2025-06-24_1_15_1_fa7fc922","Яндекс","json","task","Напиши обёртку над асинхронной функцией fn, которая вызывает её, но прерывает выполнение, если она не успевает завершиться за t миллисекунд","2025-06-24","13:48:29","250","","","","","","Sodnom Tyksheev"
"Яндекс_2025-06-24_1_15_2_de87b937","Яндекс","json","code","function runOnce(fn) { let called = false; return function (...args) { if (called) { return undefined; called = true; return fn(...args); }","2025-06-24","13:48:29","250","","","","","","Sodnom Tyksheev"
"Яндекс_2025-06-24_1_15_3_3a41b0f8","Яндекс","json","code","function sleep(time) { return new Promise((resolve) => setTimeout(() => resolve(), time)) }","2025-06-24","13:48:29","250","","","","","","Sodnom Tyksheev"
"Яндекс_2025-06-24_1_15_4_9d778b1b","Яндекс","json","code","const timeLimited = function(fn, t) { return function(...args) { return new Promise((resolve, reject) => { const fPromise = fn(...args).then(resolve).catch(reject); const timer = setTimeout(() => { reject(""Time limit exceeded""); }","2025-06-24","13:48:29","250","","","","","","Sodnom Tyksheev"
"Яндекс_2025-06-24_1_16_0_171a2489","Яндекс","json","code","const data = { name: ""folder"", children: [ { name: ""file1.txt"", size: 100 }","2025-06-24","12:56:12","250","","","","","","Артем Покатилов"
"Яндекс_2025-06-24_1_16_1_26114dd4","Яндекс","json","code","function printDirectoryStructure(data) { const sizeMap = new Map(); // === Первый проход: считаем размеры всех узлов (файлов и папок) === const stack = [{ node: data, visited: false }","2025-06-24","12:56:12","250","","","","","","Артем Покатилов"
"Яндекс_2025-06-24_1_16_2_64d903db","Яндекс","json","code","const data = { name: ""folder"", children: [ { name: ""file1.txt"", size: 100 }, { name: ""file2.txt"", size: 400 }, { name: ""images"", children: [ { name: ""image.png"", size: 200 }, { name: ""vacation"", children: [ { name: ""crocodile.png"", size: 500 }, { name: ""penguin.png"", size: 200 }, ], }, ], }, { name: ""shopping-list.pdf"", size: 400 }, ], }","2025-06-24","12:56:12","250","","","","","","Артем Покатилов"
"Яндекс_2025-06-24_1_17_0_b8fae3c1","Яндекс","json","code","function solution(connect, render) { // Создаем Map для хранения полученных сообщений // Ключ - ID сообщения, значение - функция для его отрисовки const map = new Map(); // Текущий ожидаемый ID сообщения (начинаем с 1) let currId = 1; // Подключаемся к источнику сообщений connect((msg) => { // Сохраняем сообщение в Map, оборачивая render в функцию // Это позволяет отложить выполнение render до нужного момента map.set(msg.id, () => render(msg)); // Проверяем, есть ли в Map сообщения, которые можно отрисовать по порядку while (map.has(currId)) { // Получаем и вызываем функцию отрисовки для текущего ID map.get(currId)(); // Удаляем обработанное сообщение из Map map.delete(currId); // Переходим к следующему ожидаемому ID currId++; }","2025-06-24","12:56:05","250","","","","","","Артем Покатилов"
"Яндекс_2025-06-24_1_17_1_84fe0c57","Яндекс","json","code","const data = { name: ""folder"", children: [ { name: ""file1.txt"" }","2025-06-24","12:56:05","250","","","","","","Артем Покатилов"
"Яндекс_2025-06-24_1_17_2_b275b9a1","Яндекс","json","code","function printDirectoryStructure(data) { // Используем стек для итеративного обхода структуры const stack = [{ data, level: 0 }","2025-06-24","12:56:05","250","","","","","","Артем Покатилов"
"Яндекс_2025-06-24_1_17_3_e7240218","Яндекс","json","code","const data = { name: ""folder"", children: [ { name: ""file1.txt"" }, { name: ""file2.txt"" }, { name: ""images"", children: [ { name: ""image.png"" }, { name: ""vacation"", children: [{ name: ""crocodile.png"" }, { name: ""penguin.png"" }], }, ], }, { name: ""shopping-list.pdf"" }, ], }","2025-06-24","12:56:05","250","","","","","","Артем Покатилов"
"Яндекс_2025-06-24_1_17_4_92cb8f5a","Яндекс","json","code","function printDirectoryStructure(data) { // Используем стек для итеративного обхода структуры const stack = [{ data, level: 0 }];","2025-06-24","12:56:05","250","","","","","","Артем Покатилов"
"Яндекс_2025-06-23_1_18_0_d8e06a80","Яндекс","json","task","Сделай такую обёртку над функцией, чтобы она вызывалась только один раз — при первом вызове","2025-06-23","01:19:00","","","","","","","Эмир"
"Яндекс_2025-06-23_1_18_1_6d1fa912","Яндекс","json","task","Напиши функцию, которая принимает несколько промисов и возвращает промис, в котором будет сумма всех результатов этих промисов","2025-06-23","01:19:00","","","","","","","Эмир"
"Яндекс_2025-06-23_1_18_3_ef3e0acc","Яндекс","json","code","function sumFulfilledPromises(...promises) { return Promise.allSettled(promises) .then(results => { const successValues = results .filter(result => result.status === 'fulfilled') .map(result => result.value); return successValues.reduce((sum, num) => sum + num, 0); }","2025-06-23","01:19:00","","","","","","","Эмир"
"Яндекс_2025-06-23_1_18_4_526dd72b","Яндекс","json","code","async function tryAuth(n) { try { const response = await auth(); // вызываем auth return response; // если успех — возвращаем результат }","2025-06-23","01:19:00","","","","","","","Эмир"
"Яндекс_2025-06-23_1_18_5_724fa5cc","Яндекс","json","code","function scanTree(tree) { let squirrels = []; if (tree.branches) { tree.branches.forEach(branch => { squirrels.push(...squirrelScanner(branch)); }","2025-06-23","01:19:00","","","","","","","Эмир"
"Яндекс_2025-06-11_1_19_0_c1fb4a5e","Яндекс","json","code","function solution(connect, render) { let curValue = 1; const map = new Map(); connect(function onMessage(message) { map.set(message.id, message); console.log(map); while (map.has(curValue)) { render(map.get(curValue)); map.delete(curValue); curValue++; }","2025-06-11","14:12:34","","","","","","","Egor"
"Яндекс_2025-06-05_1_20_0_a2ce823c","Яндекс","json","question","Расскажи про процессы на примере одной задачи","2025-06-05","19:58:18","","middle","","","","","Лёша"
"Яндекс_2025-06-05_1_20_1_18b8f5e1","Яндекс","json","question","Расскажи про уровень задач, которыми ты занимался с примерами","2025-06-05","19:58:18","","middle","","","","","Лёша"
"Яндекс_2025-06-05_1_20_2_86bcf184","Яндекс","json","question","Что такое ssr (он опять вернулся к примеру в самом начале)","2025-06-05","19:58:18","","middle","","","","","Лёша"
"Яндекс_2025-06-05_1_21_0_54ae0e81","Яндекс","json","code","function NewsPage() { const [news, setNews] = useState([]); const [loading, setLoading] = useState(true); useEffect(() => { fetch('/news') .then(response => response.json()) .then(data => { setNews(data); setLoading(false); }","2025-06-05","14:28:48","250","","","","","","Alexander"
"Яндекс_2025-06-03_1_22_0_c70afd93","Яндекс","json","code","function sumPromises(...promises) { return Promise.all(promises) .then(results => { return results.reduce((sum, num) => sum + num, 0); }","2025-06-03","20:47:33","","","","","","","Nikita"
"Яндекс_2025-06-03_1_22_2_bffe843b","Яндекс","json","code","async function runCheck(url1, url2, solution) { const timeout = (ms) => new Promise((_, reject) => setTimeout(() => reject(new Error(""timeout"")), ms); async function safeCheck(url) { try { return await Promise.race([ checkResult(url, solution), timeout(3000) ]); }","2025-06-03","20:47:33","","","","","","","Nikita"
"Яндекс_2025-06-03_1_22_3_482197e0","Яндекс","json","code","function sumPromises(...promises) { return Promise.all(promises) .then(results => { return results.reduce((sum, num) => sum + num, 0); }); }","2025-06-03","20:47:33","","","","","","","Nikita"
"Яндекс_2025-06-03_1_23_0_c4fc3495","Яндекс","json","code","const Input = memo((props) => { console.log('render') return <input {...props}","2025-06-03","18:30:31","","","","","","","Max"
"Яндекс_2025-06-03_1_23_1_e485510a","Яндекс","json","code","const items = [ { ticker: 'GAZP', label: 'Газпром', industry: 'oil&gas', price: 133.44 }, { ticker: 'YNDX', label: 'Яндекс', industry: 'IT', price: 3907.44 }, { ticker: 'SBER', label: 'Сбербанк', industry: 'bank', price: 289.3 }, { ticker: 'LKOH', label: 'Лукойл', industry: 'oil&gas', price: 6806 }, { ticker: 'VTBR', label: 'ВТБ', industry: 'bank', price: 97.51 }, { ticker: 'TCSG', label: 'ТКС холдинг', industry: 'bank', price: 2604.5 }, { ticker: 'ROSN', label: 'Роснефть', industry: 'oil&gas', price: 511.95 },","2025-06-03","18:30:31","","","","","","","Max"
"Яндекс_2025-06-03_1_23_2_11520e7c","Яндекс","json","code","const industries = ['all', 'oil&gas', 'bank', 'IT'];","2025-06-03","18:30:31","","","","","","","Max"
"Яндекс_2025-06-02_1_25_0_d7ad2738","Яндекс","json","question","Кто составлял описание задач?","2025-06-02","14:32:40","250","","","","","2","Alexandro 4"
"Яндекс_2025-06-02_1_25_1_1b2d67bc","Яндекс","json","question","Чем занимался на проекте?","2025-06-02","14:32:40","250","","","","","3","Alexandro 4"
"Яндекс_2025-06-02_1_25_2_e8be7a15","Яндекс","json","question","Как шел деплой на проекте?","2025-06-02","14:32:40","250","","","","","5","Alexandro 4"
"Яндекс_2025-06-02_1_25_3_fdf118a1","Яндекс","json","question","Как тестировали приложение?","2025-06-02","14:32:40","250","","","","","6","Alexandro 4"
"Яндекс_2025-06-02_1_25_4_8ee7b342","Яндекс","json","question","Приходилось ли оптимизировать приложение?","2025-06-02","14:32:40","250","","","","","7","Alexandro 4"
"Яндекс_2025-06-02_1_25_5_58522498","Яндекс","json","question","Работал ли с Next?","2025-06-02","14:32:40","250","","","","","8","Alexandro 4"
"Яндекс_2025-06-02_1_25_6_636302c2","Яндекс","json","question","Расскажи про плюсы и минусы SSR?","2025-06-02","14:32:40","250","","","","","9","Alexandro 4"
"Яндекс_2025-06-02_1_25_7_8640de41","Яндекс","json","question","Какие бы ты тесты предложил для интерфейса Яндекс.Путешествия?","2025-06-02","14:32:40","250","","","","","10","Alexandro 4"
"Яндекс_2025-06-02_1_25_8_588cc865","Яндекс","json","question","Пользователи жалуются, что при открытии приложения белый экран, что будешь делать?","2025-06-02","14:32:40","250","","","","","11","Alexandro 4"
"Яндекс_2025-06-02_1_25_9_33eb6ce4","Яндекс","json","question","Были ли конфликты в команде и как действовал в таких ситуациях?","2025-06-02","14:32:40","250","","","","","12","Alexandro 4"
"Яндекс_2025-06-02_1_25_10_07ea94fe","Яндекс","json","question","Проводил ли менторство над сотрудником и с какими проблемами столкнулся?","2025-06-02","14:32:40","250","","","","","13","Alexandro 4"
