cluster_id,canonical_question,topics,size,topic_confidence,fingerprint
63,Что самое дешёвое для анимации в браузере (transform) и как часто RequestAnimationFrame будет запускаться,"requestanimationframe, анимации, requestidlecallback, анимаций, transform",38,"{""main_topic"": 1.0}",d737a251c6a30764
64,"Что такое замыкание, приведите пример замыкания на основе использования setState внутри useEffect","setstate, count, setcount, prev, usecount",37,"{""main_topic"": 1.0}",6386501b0446113f
65,"Объяснить, что выведет console.log при вызове функции с замыканием, которая увеличивает внутреннюю переменную, и почему при повторных вызовах выводится одно и то же значение","console, log, var, typeof, выведет",36,"{""main_topic"": 1.0}",80ac4275850b5080
66,"Написать функцию, которая делает заданное количество попыток загрузить данные с URL с помощью fetch и возвращает результат или ошибку после исчерпания попыток","fetch, url, запрос, get, ошибке",36,"{""main_topic"": 1.0}",c23e8de3837c48b6
67,Все про прототипы.,"prototype, наследование, proto, прототипы, прототипное",36,"{""main_topic"": 1.0}",390383bfa7d908f9
68,Как оптимизировать бандл,"оптимизации, оптимизировал, способы, оптимизация, средства",36,"{""main_topic"": 1.0}",5e905412c93333f3
69,Какие существуют статические методы у Promise,"promise, методы, приведите, optimistic, источников",34,"{""main_topic"": 1.0}",1740ce0a37d6816a
70,Как устанавливается соединение между клиентом и сервером,"сервером, сервер, сервера, взаимодействия, клиенте",34,"{""main_topic"": 1.0}",251595e4b4f1a32b
71,Отличия useEffect от useLayoutEffect,"uselayouteffect, useeffect, отличается, от, отличие",34,"{""main_topic"": 1.0}",9ba2f2bb09329b53
72,Какие способы оптимизации React-приложений вы знаете,"оптимизации, оптимизировать, способы, react, производительности",33,"{""main_topic"": 1.0}",f817166fc56df85d
73,Что такое CDN,"cd, ci, cdn, настраивал, релизами",33,"{""main_topic"": 1.0}",e14c8c5b523eb906
74,Разница интерфейсов и типов,"interface, ts, type, bar, отделять",33,"{""main_topic"": 1.0}",ef6ce33f65cb9a2d
75,Объясните принцип работы React.memo и useCallback,"usememo, usecallback, memo, назначение, react",33,"{""main_topic"": 1.0}",e849d08529e05f40
76,Что такое web workers и как они используются?,"worker, service, web, workers, webworker",32,"{""main_topic"": 1.0}",ae4aa3985682ff9f
77,Почему нельзя просто изменить текст в элементе через DOM API в React,"dom, domcontentloaded, воркеров, погружение, ведет",32,"{""main_topic"": 1.0}",81567f930cdcd282
78,Зачем использовать семантическую верстку. Назвать теги семантической верстки,"теги, семантическая, верстка, семантические, мета",32,"{""main_topic"": 1.0}",0c8dae123ddc7ded
79,"Какую архитектуру используешь на проекте, какие знаешь?","архитектура, архитектурные, какая, проекте, архитектуры",32,"{""main_topic"": 1.0}",cd1dcbc3b5051804
80,Сколько нужно было апрувов для пуша в фичи в ветку,"дейли, взаимодействовал, релизы, был, хуки",32,"{""main_topic"": 1.0}",a8d6e50ed742536c
81,call/bind/apply,"bind, call, apply, методов, применение",31,"{""main_topic"": 1.0}",6c2803af3e0a3e02
82,"Определи порядок вывода в консоль для кода с setTimeout, Promise и console.log","вывода, settimeout, порядок, promise, кода",31,"{""main_topic"": 1.0}",9c1540defa58aecc
83,"Написать тип someName и наиболее оптимальную проверку наличия ключа id в объекте pictures типа Record<ID, Picture>","ключами, объект, id, значениями, вложенный",31,"{""main_topic"": 1.0}",cfcb9d2f0e81c849
84,Задача на замыкание: написать функцию runOnce которая выполняется только один раз,"runonce, раз, fn, один, undefined",31,"{""main_topic"": 1.0}",018356d67e95dd4b
85,Всплытие и погружение событий подробно,"всплытие, погружение, фазы, событий, bubbling",30,"{""main_topic"": 1.0}",4ad0e0def8cf0eb2
86,Методы массивов,"мутирующие, методы, массива, знаете, массивов",30,"{""main_topic"": 1.0}",c535a6c30fb5f41d
87,Где хранили JWT,"jwt, авторизация, токен, токена, подпись",30,"{""main_topic"": 1.0}",3cfeec1b8671bf9f
88,"Реализовать метод groupBy, который группирует элементы массива объектов по заданному ключу и возвращает объект с массивами сгруппированных элементов","groupby, группирует, ключу, массива, prototype",29,"{""main_topic"": 1.0}",e26a39d4d5c96b09
89,Отличия Map и WeakMap,"мусора, weakmap, сборщик, weakset, collector",29,"{""main_topic"": 1.0}",a1696681dfbe4cd3
90,Как отсматриваете свои фичи и как кто смотрит,"себе, себя, грейд, оцениваешь, оценишь",29,"{""main_topic"": 1.0}",caf495375d04a9d5
91,как подгружаются скрипты в JS: async и defer,"defer, async, скриптов, script, скрипты",29,"{""main_topic"": 1.0}",a683c913e09122fc
92,"Определи что выведется в консоль в функции logContext и исправь код так, чтобы выводился контекст 'inner obj'","obj, obj1, obj2, f2, f1",29,"{""main_topic"": 1.0}",fbbee1d443fc4dd4
93,"Что выведет метод массива в зависимости от того, какая функция используется: стрелочная или function declaration","declaration, function, expression, sayname, arrow",29,"{""main_topic"": 1.0}",8e50645e65b65723
94,"Реализуйте компонент MyPick с функционалом, описанным в исходном коде из src/MyPick.ts","src, отступами, ts, дерева, index",29,"{""main_topic"": 1.0}",1df18954e0a7b101
95,"Отрефакторь React-компонент Users с использованием useState и useEffect, исправь ошибки в обработке формы и запросах fetch","загрузки, пользователя, постов, обработкой, компонент",28,"{""main_topic"": 1.0}",6c49a7e9f7d36197
96,Виды рендеринга,"repaint, reflow, рекурсия, реконсиляция, рендеринга",28,"{""main_topic"": 1.0}",6fb295118f53d6d8
97,Что такое виртуальный дом в React,"виртуализацию, виртуализация, дом, виртуальный, виртуализации",28,"{""main_topic"": 1.0}",ee6286c6a1650c60
98,Объясните основные принципы ООП,"solid, принципы, ооп, принцип, применение",27,"{""main_topic"": 1.0}",42f8dd32d9285f44
99,"Проанализируйте вывод консольных логов в следующем коде: setTimeout(()=> console.log('setTimeout'), 0); console.log('scriptstart'); Promise.resolve().then(()=> { console.log(1); throw new Error('err'); console.log(100); }).then(()=> console.log(2)).then(()=> console.log(3))","log, console, resolve, settimeout, then",27,"{""main_topic"": 1.0}",c9c5fb6c2a5565c2
100,По процессу разработки как шло взаимодействие с git git flow,"git, flow, stash, github, команды",27,"{""main_topic"": 1.0}",9b9add31bc2ef6b0
101,=== и ==,"операторы, somearray, at, оператором, оператор",27,"{""main_topic"": 1.0}",9f1c3afba6fe7f83
102,Способы изоляции стилей.,"styled, components, стилей, стили, emotion",26,"{""main_topic"": 1.0}",01235d4e4ff5aed6
103,Что выведет console.log('' || {}),"выведет, console, log, выражения, undefined",26,"{""main_topic"": 1.0}",eac6519dac2d39e1
104,"Реализуйте функцию parallelLimit, которая выполняет несколько асинхронных задач с ограничением на количество параллельных вызовов","parallellimit, асинхронных, запросов, выполняемых, одновременно",26,"{""main_topic"": 1.0}",66ee4c5deed47037
105,"Какие бывают виды функций, как работает контекст и какие есть методы сохранения контекста","context, контекст, менеджеры, контекста, стейт",26,"{""main_topic"": 1.0}",8f18e60ef3ed3606
106,Вопросы по работе с webpack,"webpack, плагины, loaders, bootstrap, билде",26,"{""main_topic"": 1.0}",b8cf6597904794bc
107,Нужен ли функции useCallback и в каких случаях,"usecallback, subscribe, unsubscribe, подписчиков, оборачивать",26,"{""main_topic"": 1.0}",1026be8586c6e46b
108,Какие хобби?,"свободное, хобби, заниматься, увлекаешься, время",26,"{""main_topic"": 1.0}",ce315eef6056eb61
109,Какой лучший мем по твоему мнению на данный момент?,"мемоизация, мемоизацию, мемоизации, нужна, нужно",25,"{""main_topic"": 1.0}",3ebf5653a76b2088
110,"Реализуйте функцию getRoute, которая возвращает маршрут по заданным параметрам","маршрут, getroute, билетов, маршруту, оптимальный",25,"{""main_topic"": 1.0}",89dccdbf1108467b
111,Что такое JavaScript?,"javascript, message, throw, оператор, байдинга",25,"{""main_topic"": 1.0}",8a12f4fc57f66656
112,Реализовать загрузку данных с использованием Promise.all для параллельного получения userData и postData с последующим обновлением состояния в React,"промисов, промис, all, aggregateerror, отклонены",25,"{""main_topic"": 1.0}",91caeb8b5f6c1644
113,"Реализовать счетчик с кнопками стоп, старт и рестарт","кнопку, счетчик, кнопки, кнопка, клика",25,"{""main_topic"": 1.0}",8d1a01d6463a45f7
114,Объясните event loop и когда происходит render,"javascript, loop, event, событий, события",25,"{""main_topic"": 1.0}",f922ccee56d1a820
115,Какие способы оптимизации ты использовал в своём приложении.,"приложение, оптимизировать, приложения, приложений, оптимизации",25,"{""main_topic"": 1.0}",9074b7eaa83444c6
116,"Спрашивал о работе веб-сервера Nginx, что это и зачем вообще надо","npm, nginx, приватный, реестр, ci",25,"{""main_topic"": 1.0}",7c5f38972a6a04e5
117,"Сделать условный ToDo-лист на React с возможностью редактирования, удаления и переключения режима редактирования пользователя","задач, todo, список, list, выполненные",25,"{""main_topic"": 1.0}",c81859cf9c01f3e6
118,"Объяснить поведение this в объекте bet с методом getBetType и при вызове getType, который ссылается на bet.getBetType, а также почему при вызове getType() выводится значение глобальной переменной type.","пути, объекте, полями, путь, to",25,"{""main_topic"": 1.0}",61c3a11092bbaf7c
119,"Написать event emitter с методами on и trigger, который позволяет добавлять обработчики событий и вызывать их","eventemitter, on, off, класс, методами",25,"{""main_topic"": 1.0}",e9bd9e1b7ccbe08a
120,"Что выведет в консоль при выполнении цепочки промисов с setTimeout, then, catch и finally","settimeout, гарантия, выполнится, setinterval, таймаут",24,"{""main_topic"": 1.0}",5dca78d440b460ac
121,В чем отличие интерпретируемого ЯП от компилируемого?,"программирования, программирование, функциональное, devdependencies, dependencies",24,"{""main_topic"": 1.0}",23c9b854ecc5afca
122,"Написать функцию для проверки, является ли строка палиндромом, и предложить способы оптимизации решения","палиндромом, строка, проверяет, является, проверки",24,"{""main_topic"": 1.0}",6cbcba7d751d0d89
123,Как была построена работа с аналитиками и дизайнерами?,"дизайнером, апи, дизайнерами, разработка, разработки",23,"{""main_topic"": 1.0}",061e814823d70f12
124,HOC (Higher Order Component),"hoc, higher, order, component, memo",23,"{""main_topic"": 1.0}",8b18c48eb03e711c
125,В чем отличие стрелочных функций от обычных функций,"обычной, стрелочной, стрелочная, perimeter, diameter",22,"{""main_topic"": 1.0}",ff3789e1ec5eff46
126,"Что такое контекст в React, зачем он нужен и как работает","context, контекст, темы, react, контекста",22,"{""main_topic"": 1.0}",7e2f589bcb6a257a
127,"Делали ли вы дженерики и в каких случаях, например в кастомных утилитах","ревью, было, ли, приходилось, делали",22,"{""main_topic"": 1.0}",e18f15e8df18e0a0
128,"Запросы GET передаются query параметрами, а можем ли мы сделать то же самое методом POST?","post, get, body, запроса, запросы",22,"{""main_topic"": 1.0}",e951b09b07c7ea6e
129,"Что мы не можем написать на функциональных компонентах (например, Error Boundary)","errorboundary, error, boundary, ошибок, функциональных",22,"{""main_topic"": 1.0}",acb2bc1f4487a1a5
130,"Тебе нужно выполнить объёмную операцию, которая займёт продолжительное время, что нужно сделать, чтобы браузер не тормозил, не завис.","грузится, аудио, долго, скорость, сайт",22,"{""main_topic"": 1.0}",91c4c541d7444b99
131,Какие методы защиты ты используешь для своего приложения.,"xss, безопасности, атак, безопасность, защиты",21,"{""main_topic"": 1.0}",2f016a00b4a8fd68
132,Что такое замыкания,"замыкание, замыкания, привести, пример, оно",21,"{""main_topic"": 1.0}",9638069f67525ae2
133,Определите порядок вывода чисел в консоль для данного асинхронного кода с setTimeout и Promise,"settimeout, порядок, func2, вывода, promise",21,"{""main_topic"": 1.0}",331b370f1f7dbf6e
134,Топ 5 твоих достижений в компании (какую идею/фичу внедрил и как она помогла бизнесу),"гордишься, которыми, гордитесь, достижения, задачах",21,"{""main_topic"": 1.0}",9b043a0e65647418
135,"Расскажите про паттерны проектирования, которые вы использовали","проектирования, паттерны, дизайн, адаптивный, синглтон",21,"{""main_topic"": 1.0}",83d5149586fe33c8
136,"Сравните React, Vue и Angular","vue, angular, библиотекой, считается, реактивность",21,"{""main_topic"": 1.0}",bd6aec03c441232c
137,Отличия Promise.all и Promise.allSettled,"allsettled, promise, all, race, any",20,"{""main_topic"": 1.0}",b4b8014985ff0832
138,Что происходит после получения HTML страницы?,"html, html5, семантика, семантику, понимает",20,"{""main_topic"": 1.0}",8d4f682486754083
139,Расскажи про архитектуру FCD,"fsd, design, feature, sliced, архитектуру",20,"{""main_topic"": 1.0}",63f0c3f04289fca9
140,Открытый и закрытый ключ,"key, ключ, реакте, нужен, prop",20,"{""main_topic"": 1.0}",18f0750490895531
141,Что такое чистая функция,"чистая, функция, чистые, перегрузка, функций",20,"{""main_topic"": 1.0}",6bc72f7fa24ba2ab
142,"Объясните, почему блок try...catch не ловит ошибки из промисов и как работает обработка ошибок в цепочке промисов","catch, then, reject, try, цепочки",20,"{""main_topic"": 1.0}",0803785cebe4c7dc
143,HTTP vs HTTPS,"http, https, протоколов, версий, протокола",20,"{""main_topic"": 1.0}",5b08d9114215b0d2
144,Как решал конфликтные вопросы?,"конфликтные, конфликты, ситуации, были, решаешь",20,"{""main_topic"": 1.0}",3360b6331d15bb50
145,Какие жизненные циклы реализует useEffect,"жизненный, цикл, жизненного, цикла, жизненные",20,"{""main_topic"": 1.0}",8bbcf166b3d34cc0
146,"Оптимизировать редьюс, который создает новый массив на каждой итерации: const arr = [1,2,3].reduce((acc, x) => { return [...acc, {value: x, name: x}] }, [])","arr, acc, arrsort, arrunsort, массива",19,"{""main_topic"": 1.0}",b51250009047ac57
147,"Что такое fsd, как внедряли его на проект","fsd, разделение, минусы, организовывали, соединить",19,"{""main_topic"": 1.0}",7d404753c1d29a0e
148,"Реализовать страницу с счетчиком, который показывает сколько времени пользователь находится на странице в секундах, увеличивая значение каждую секунду","комментарии, пользователей, постов, онлайн, dummyjson",19,"{""main_topic"": 1.0}",50f808fe53b8b06f
149,"Чему будет равно выражение 0.1 + 0.2 === 0.3, как избавиться от этой проблемы и почему так работает","вычислении, равно, выражения, 909, равны",19,"{""main_topic"": 1.0}",974076dec4f48915
150,git rebase,"rebase, merge, git, отличается, reset",19,"{""main_topic"": 1.0}",5c874c8cf8e423d9
151,Как реализовано кеширование в RTK Query?,"rtk, query, кеширование, инвалидацию, неавторизованный",18,"{""main_topic"": 1.0}",6281e3bab9cd2282
152,Что такое Portal в React. Когда использовать,"portal, порталы, портал, createportal, всплывать",18,"{""main_topic"": 1.0}",97df772e4bd4b46e
153,"Напишите функцию, которая генерирует случайный цвет в формате HEX (#ffffff)","цвет, blue, hex, box, red",18,"{""main_topic"": 1.0}",b21bac68ce1b7c2c
154,"Задача: отрисовать шахматную доску и реализовать управление королем, который может ходить только на соседние 8 клеток, при этом закрашивать возможные ходы","центру, элемент, отцентровать, высоты, выровнять",18,"{""main_topic"": 1.0}",b58309571a816e4c
155,Как реализовать асинхронную функцию sleep() без setTimeout,"sleep, миллисекунд, успешно, завершается, количество",18,"{""main_topic"": 1.0}",d7c6ef2858981334
156,Как рефакторишь легаси-компоненты,"адаптивной, верстке, верстки, промисов, методы",17,"{""main_topic"": 1.0}",386f3be34c3ecd81
157,Перечислите и опишите методы жизненного цикла в React и работу хука useEffect,"жизненный, жизненного, цикл, цикла, компонента",17,"{""main_topic"": 1.0}",d08988fe587fb773
158,В чем плюсы React?,"плюсы, минусы, yup, преимущества, отрицательные",17,"{""main_topic"": 1.0}",f5d828def245cf7d
159,Чем пользовался для взаимодействия с api,"api, first, мессенджер, мессенджера, ui",17,"{""main_topic"": 1.0}",cc2fe12a6f23e6ec
160,Utility types в TypeScript,"types, utility, typescript, omit, exclude",17,"{""main_topic"": 1.0}",6cd66421ec2947de
161,"Объясните асинхронность в JavaScript, как работает RequestAnimationFrame, и как работают промисы","замыкания, javascript, асинхронность, hoisting, mode",17,"{""main_topic"": 1.0}",882081778b13f264
162,Расскажите про задачи на текущей работе и продукт,"проекта, хуже, уйдешь, неё, станет",17,"{""main_topic"": 1.0}",ff434967f8998332
163,Какие position бывают,"position, absolute, fixed, sticky, relative",17,"{""main_topic"": 1.0}",1097b2c5ff2f3fc0
164,Что такое JSX и можно ли использовать React без него,"jsx, во, выходит, jsdoc, xsd",16,"{""main_topic"": 1.0}",f66a271b8ad89d0a
165,Мемоизация в react,"мемоизация, мемоизации, нужна, 19, реализована",16,"{""main_topic"": 1.0}",194f0aec5af2b4ab
166,Объясните принцип работы React.memo,"memo, сравнения, сравнивает, пропсов, пропсы",16,"{""main_topic"": 1.0}",ef6413eaa94094bf
167,"Написать тип для функции multiplyBy2, которая является свойством функции sum: sum принимает два числа и возвращает число, sum.multiplyBy2 принимает два числа и возвращает число, равное sum(a,b) * 2","sum, сумму, вернет, аргументов, любое",16,"{""main_topic"": 1.0}",b8b0c4614533450f
168,Что такое ECMAScript?,"javascript, функциями, ecmascript, обычными, стрелочными",16,"{""main_topic"": 1.0}",8bc79edeaac9ac9e
169,Почему Vite быстрее webpack,"vite, webpack, сборщика, быстрее, webm",16,"{""main_topic"": 1.0}",6cbe3dbddb6f4785
170,Объяснить поведение цепочки вызовов foo(1).foo(2).foo(3).foo(4) в функции foo с вложенным методом foo,"foo, foo1, baz, foo2, рекурсивно",16,"{""main_topic"": 1.0}",2e28935b0ca9f48f
171,"Дан enum EState с тремя значениями и generic интерфейс IProps с ограничением V extends Record<EState, number>. Нужно дописать generic так, чтобы props соответствовал типу IProps с value, где ключи из EState и значения числа","enum, env, estate, переменные, status",16,"{""main_topic"": 1.0}",85cde893aa63c8c1
172,Что делает оператор keyof в TypeScript,"keyof, any, extends, тип, typeof",16,"{""main_topic"": 1.0}",f5f86a90e5b55a7f
173,"Что будет выведено в консоль при выполнении кода const a = {key: 'a'}, b = {key: 'b'}, c = {key: 'c'}; a[b] = c; a[c] = b; console.log(a[b], a[c])","const, выполнении, some, кода, выведено",16,"{""main_topic"": 1.0}",8f6140a7b285bfe0
174,Работа с графиками: опишите подходы к визуализации данных на графиках в React,"данными, аналогичную, динамическими, визуализации, динамическую",16,"{""main_topic"": 1.0}",a882da02f8f43f5b
175,Разница между focus и active,"видимости, области, область, focus, scope",15,"{""main_topic"": 1.0}",49167c2c4e211d00
176,"Что такое TCP и IP, как работают, чем отличаются","tcp, https, udp, шифрование, шифруется",15,"{""main_topic"": 1.0}",2642fe36b4be8ebe
177,Что такое typeguard в TypeScript?,"guard, type, typeguard, guards, user",15,"{""main_topic"": 1.0}",22edde4e45116799
178,Какие бывают дескрипторы?,"дескрипторы, блочными, строчными, строчных, селектор",15,"{""main_topic"": 1.0}",47bd7e4fd7d6c68a
179,"Статические поля класса и чем отличаются от обычных, привести примеры","статические, методы, класса, поля, динамическая",15,"{""main_topic"": 1.0}",64c6fe419d781be0
180,Почему в цикле с let i=0; i<10; i++ с setTimeout выводятся числа от 0 до 9?,"settimeout, цикла, выводящем, for, var",15,"{""main_topic"": 1.0}",d3b4730fe3213a4f
181,Что такое package-lock.json и что хранится в package.json?,"package, json, lock, поле, нужен",15,"{""main_topic"": 1.0}",4f4f7a3999b1f454
