row_id_1,row_id_2,sim_embed,sim_char,id_1,question_text_1,company_1,date_1,id_2,question_text_2,company_2,date_2
85,4364,0.98639976978302,0.9814106429853078,q7,Что такое reconciliation в React?,AEX Soft,2025-04-30,q13,Что такое reconciliation в React,Гарда,2024-09-01
85,849,0.9766527414321899,0.9814106429853078,q7,Что такое reconciliation в React?,AEX Soft,2025-04-30,q9,Что такое Reconciliation в React,Darinsoft,2024-11-06
86,5509,0.9823293685913086,0.9351555186559932,q8,Что такое EventLoop?,AEX Soft,2025-04-30,q7,Что такое EventLoop,Ооо Мобайлдевелопмент,2024-10-24
86,1236,0.9783122539520264,0.9351555186559932,q8,Что такое EventLoop?,AEX Soft,2025-04-30,q5,Что такое eventLoop,Funbox,2024-06-18
86,3537,0.9741595983505249,0.9351555186559932,q8,Что такое EventLoop?,AEX Soft,2025-04-30,q5,что такое eventLoop,Аv.By,2025-06-02
92,2175,0.9803669452667236,0.9546245627239879,q1,Что такое чистая функция,Aggregate Digital,2024-11-07,q1,Что такое чистая функция?,Mozen,2024-06-25
96,809,0.9747556447982788,1.0000000000000004,q5,Event Loop,Aggregate Digital,2024-11-07,q13,event loop,Cosysoft,2024-06-07
97,4948,0.9796611070632935,0.9392100367132221,q6,Что такое VDOM,Aggregate Digital,2024-11-07,q4,Что такое VDOM?,Кб 12,2024-10-29
128,4958,0.9869292378425598,0.9896351258532916,q2,В чем разница между null и undefined,Alderasoft,2025-02-07,q5,В чем разница между null и undefined?,Киберлаб,2024-08-16
128,3684,0.983798086643219,0.9469992332508526,q2,В чем разница между null и undefined,Alderasoft,2025-02-07,q15,Разница между null и undefined,Алабуга,2025-05-13
156,1291,0.9924641847610474,1.0000000000000002,q1,Расскажи про опыт,Algorithmic Brains,2024-07-12,q1,расскажи про опыт,Glowbyte,2024-07-10
157,4180,0.9963624477386475,0.9085544094048192,q2,"Объясните разницу между var, let и const",Algorithmic Brains,2024-07-12,q8,"Опишите разницу между var, let и const",БФТ Холдинг,2024-07-18
167,3633,0.9879589080810547,0.9721455691406582,q3,Что такое Context в React?,Altenar,2025-07-11,q4,Что такое Context в React,Ай Теко,2024-12-05
200,2747,0.9762800931930542,1.0,q1,Как пришел в IT,AmoCRM,2025-07-16,q2,Как пришел в it,Sarex,2024-10-27
245,7923,0.9811190366744995,0.9568981130102069,q3,Что такое JavaScript?,Angie,2024-11-22,q18,Что такое JavaScript,Эремейч Рус,2025-06-17
252,2010,0.9754489660263062,0.9463278890876703,q10,Как работает EventLoop?,Angie,2024-11-22,q4,Как работает EventLoop,LegalTech,2025-06-12
252,7142,0.9736494421958923,0.9463278890876703,q10,Как работает EventLoop?,Angie,2024-11-22,q19,Как работает eventLoop,Согаз,2024-12-06
252,8365,0.9679794311523438,0.9463278890876703,q10,Как работает EventLoop?,Angie,2024-11-22,q4,как работает eventloop,Яндекс,2025-01-30
287,4915,0.9945504665374756,0.9367155934769047,q3,Объясните прототипное наследование в JavaScript,ATI.su,2025-02-17,q9,Объяснить прототипное наследование в JavaScript,Исходный Код,2025-03-10
345,728,0.9955782294273376,0.9999999999999992,q11,"Объясните разницу между Function declaration, Function expression и стрелочными функциями",Avs Consulting,2024-11-20,q7,"Объясните разницу между function declaration, function expression и стрелочными функциями",Clevertec,2025-06-16
348,5085,0.9851912260055542,0.9753697445376717,q14,Что такое замыкания в JavaScript?,Avs Consulting,2024-11-20,q3,Что такое замыкания в JavaScript,Купер,2024-07-17
352,771,0.9881469011306763,0.9894345494825739,q18,В чем разница между интерфейсами и типами в TypeScript?,Avs Consulting,2024-11-20,q9,В чем разница между интерфейсами и типами в TypeScript,Cloud.Ru,2024-08-22
355,1964,0.9897897839546204,0.9855223499700129,q21,Что такое Generic в TypeScript и как его использовать?,Avs Consulting,2024-11-20,q10,Что такое Generic в TypeScript и как его использовать,Kvando,2025-01-31
356,6674,0.9867806434631348,0.9169625137062276,q3,Реализуйте функцию debounce с настраиваемой задержкой,Bean Counter,2024-09-24,q2,Напишите функцию debounce с настраиваемой задержкой,Сбер,2024-09-10
356,4914,0.9811462163925171,0.9033611382560623,q3,Реализуйте функцию debounce с настраиваемой задержкой,Bean Counter,2024-09-24,q8,Написать функцию debounce с настраиваемой задержкой,Исходный Код,2025-03-10
358,2042,0.9969963431358337,0.9542803757788015,q5,Задача на замыкание: написать функцию runOnce которая выполняется только один раз,Bean Counter,2024-09-24,q7,"Задача на замыкание: написать функцию runOnce, которая выполняется только один раз",Linked Helper,2024-11-06
372,4234,0.9956519603729248,1.0000000000000002,q14,какие хуки знаешь,Belitsoft,2025-05-16,q14,Какие хуки знаешь,Вендорteamf,2025-02-07
372,5902,0.9841030836105347,0.9556318747984542,q14,какие хуки знаешь,Belitsoft,2025-05-16,q10,Какие хуки знаешь?,Рокет Тех,2024-06-11
373,848,0.9964755773544312,1.0,q15,что такое virtual DOM,Belitsoft,2025-05-16,q8,Что такое Virtual DOM,Darinsoft,2024-11-06
373,2768,0.9933886528015137,1.0,q15,что такое virtual DOM,Belitsoft,2025-05-16,q2,что такое virtual dom,Selecty,2025-04-04
373,4034,0.9816389083862305,1.0,q15,что такое virtual DOM,Belitsoft,2025-05-16,q7,Что такое Virtual Dom,ГНИВЦ,2025-03-26
373,982,0.9760153293609619,0.9498534185525309,q15,что такое virtual DOM,Belitsoft,2025-05-16,q13,Что такое Virtual DOM?,Digital Sector,2025-05-28
373,735,0.9746907949447632,0.9498534185525309,q15,что такое virtual DOM,Belitsoft,2025-05-16,q14,Что такое virtual DOM?,Clevertec,2025-06-16
373,1658,0.9644347429275513,0.9498534185525309,q15,что такое virtual DOM,Belitsoft,2025-05-16,q2,Что такое virtual dom?,Intelsy,2025-07-04
375,7270,0.9973368048667908,1.0,q17,что такое key в React,Belitsoft,2025-05-16,q5,Что такое key в React,СтилСофт,2025-07-08
375,2187,0.9815627336502075,0.964645609281622,q17,что такое key в React,Belitsoft,2025-05-16,q13,Что такое key в React?,Mozen,2024-06-25
380,6727,0.997090220451355,1.0000000000000002,q22,что такое event loop,Belitsoft,2025-05-16,q3,Что такое Event loop,Сбер,2024-07-24
380,2809,0.9970515966415405,1.0000000000000002,q22,что такое event loop,Belitsoft,2025-05-16,q11,Что такое event loop,Sky Capital,2025-02-20
380,610,0.995002269744873,1.0000000000000002,q22,что такое event loop,Belitsoft,2025-05-16,q6,Что такое Event Loop,Bitronics Lab,2025-02-26
380,1383,0.9712766408920288,0.9368653260836391,q22,что такое event loop,Belitsoft,2025-05-16,q1,Что такое event loop?,Highhelp,2025-07-15
387,2875,0.9679614305496216,0.9589598125647394,q2,Какой был состав команды,Bell Integrator,2025-07-16,q2,Какой был состав команды?,Smena,2025-06-25
389,1146,0.9850479364395142,0.924865219294614,q4,На какой грейд себя оцениваешь,Bell Integrator,2025-07-16,q10,На какой грейд себя оцениваете?,Evercode Lab,2025-07-11
391,3992,0.9920796155929565,0.9350813477053356,q6,Методы копирования объектов,Bell Integrator,2025-07-16,q6,Методы копирования объекта,Антара,2024-09-26
401,5719,0.9910774230957031,1.0000000000000004,q4,Что такое CDN,Bell Integrator,2025-07-04,q2,Что такое cdn,Продамус,2024-08-24
410,5487,0.9934432506561279,0.9011676715034347,q13,Объяснить специфичность селекторов в CSS,Bell Integrator,2025-07-04,q15,Объясните специфичность селекторов в CSS,Онлайн Решения,2025-05-22
425,2405,0.9774371981620789,0.9708033577705542,q28,Отличия Promise.all и Promise.allSettled,Bell Integrator,2025-07-04,q8,В чем отличия Promise.all и Promise.allSettled,Prooftech IT,2025-02-26
434,457,0.9853997230529785,0.9571299812914265,q38,Разница между useEffect и useLayoutEffect,Bell Integrator,2025-07-04,q12,В чем разница между useEffect и useLayoutEffect,Bell Integrator,2025-01-31
434,6599,0.985274076461792,0.9571299812914265,q38,Разница между useEffect и useLayoutEffect,Bell Integrator,2025-07-04,q17,В чем разница между useLayoutEffect и useEffect,Сбер,2024-10-18
434,3195,0.9819108247756958,0.9397095714464373,q38,Разница между useEffect и useLayoutEffect,Bell Integrator,2025-07-04,q21,Разница между useEffect и useLayoutEffect в React,Tybbo System,2024-11-14
434,3866,0.9719734191894531,0.9411160982962071,q38,Разница между useEffect и useLayoutEffect,Bell Integrator,2025-07-04,q4,В чем разница между useEffect и useLayoutEffect?,Альфа Банк,2025-04-02
434,1507,0.9630324840545654,0.9052319086448812,q38,Разница между useEffect и useLayoutEffect,Bell Integrator,2025-07-04,q12,В чем разница между useEffect и useLayoutEffect в React,iFellow,2025-04-23
438,7550,0.9843449592590332,0.9275673230242033,q42,Какая разница между контролируемыми и неконтролируемыми компонентами в React,Bell Integrator,2025-07-04,q7,Объясните разницу между контролируемыми и неконтролируемыми компонентами в React,Технологии Доверия,2024-05-14
442,2064,0.9868186116218567,0.9816513042207097,q46,Что такое Suspense в React,Bell Integrator,2025-07-04,q7,Что такое Suspense в React?,Luxsoft,2024-08-08
451,7643,0.9805917143821716,0.9513291799986183,q6,Что такое каррирование,Bell Integrator,2025-01-31,q10,Что такое каррирование?,Транснефть,2024-09-25
457,6599,0.9992634057998657,0.9999999999999988,q12,В чем разница между useEffect и useLayoutEffect,Bell Integrator,2025-01-31,q17,В чем разница между useLayoutEffect и useEffect,Сбер,2024-10-18
457,3866,0.988707423210144,0.9832688523938897,q12,В чем разница между useEffect и useLayoutEffect,Bell Integrator,2025-01-31,q4,В чем разница между useEffect и useLayoutEffect?,Альфа Банк,2025-04-02
457,1507,0.9870655536651611,0.9441661555819404,q12,В чем разница между useEffect и useLayoutEffect,Bell Integrator,2025-01-31,q12,В чем разница между useEffect и useLayoutEffect в React,iFellow,2025-04-23
457,6441,0.986076295375824,0.9441661555819404,q12,В чем разница между useEffect и useLayoutEffect,Bell Integrator,2025-01-31,q8,В чем разница между useLayoutEffect и useEffect в React,Сбер,2024-11-19
457,5778,0.9814120531082153,0.9350297928491749,q12,В чем разница между useEffect и useLayoutEffect,Bell Integrator,2025-01-31,q6,В чем разница между useEffect и useLayoutEffect в React?,Райффайзен,2025-04-03
463,2191,0.9779050350189209,0.961089658021191,q19,Что такое tree shaking,Bell Integrator,2025-01-31,q17,Что такое Tree Shaking?,Mozen,2024-06-25
465,4686,0.9771559238433838,0.9514175240337879,q1,Расскажи о своем опыте,Bell Integrator,2024-11-19,q1,Расскажи о своем опыте?,Иннотех,2025-02-17
503,5110,0.9879735708236694,0.983925118663501,q18,Какие правила использования хуков в React?,Bell Integrator,2024-10-31,q21,Какие правила использования хуков в React,Ланит Би Пи Эм,2025-04-14
517,1696,0.9991491436958313,1.0000000000000002,q12,Чем отличается useLayoutEffect от useEffect,BetBoom,2024-10-08,q15,Чем отличается useEffect от useLayoutEffect,IT One,2025-06-27
517,4444,0.9833279848098755,0.9832905443946522,q12,Чем отличается useLayoutEffect от useEffect,BetBoom,2024-10-08,q14,Чем отличается useEffect от useLayoutEffect?,Дарвин,2024-10-18
527,7594,0.9906594753265381,1.0000000000000004,q2,Что ищешь?,BetBoom,2024-09-24,q3,что ищешь?,Точка Банк,2024-06-18
531,5583,0.9878560304641724,0.968666756577635,q6,Что такое CORS и для чего он нужен?,BetBoom,2024-09-24,q4,Что такое CORS и для чего он нужен,Орнитех,2024-10-29
541,749,0.9769550561904907,0.9022887178228977,q16,Virtual DOM.,BetBoom,2024-09-24,q11,Virtual DOM,Click2Money,2024-06-03
541,3200,0.9517368078231812,0.9022887178228977,q16,Virtual DOM.,BetBoom,2024-09-24,q6,Virtual Dom,Umbrella It,2025-01-31
548,4366,0.9797049760818481,0.9394943280212315,q23,Специфичность в CSS.,BetBoom,2024-09-24,q15,Специфичность в CSS,Гарда,2024-09-01
603,2116,0.9859606027603149,0.9797736325643152,q2,Что такое event-loop в JavaScript?,Bitrix24,2024-04-16,q4,Что такое event-loop в JavaScript,Metatraning,2025-03-09
610,6727,0.9967906475067139,1.0000000000000002,q6,Что такое Event Loop,Bitronics Lab,2025-02-26,q3,Что такое Event loop,Сбер,2024-07-24
610,2809,0.9944862723350525,1.0000000000000002,q6,Что такое Event Loop,Bitronics Lab,2025-02-26,q11,Что такое event loop,Sky Capital,2025-02-20
610,1383,0.9697684049606323,0.9368653260836391,q6,Что такое Event Loop,Bitronics Lab,2025-02-26,q1,Что такое event loop?,Highhelp,2025-07-15
614,2777,0.9981420040130615,0.9375936120636718,q10,В чем разница между аутентификацией и авторизацией,Bitronics Lab,2025-02-26,q11,в чем разница между авторизацией и аутентификацией,Selecty,2025-04-04
622,5777,0.9841083288192749,1.0,q1,Что такое react?,Bnd,2024-10-21,q5,Что такое React?,Райффайзен,2025-04-03
628,2274,0.9839143753051758,0.9684539378658696,q7,Зачем нужен TypeScript?,Bnd,2024-10-21,q13,Зачем нужен TypeScript,Perfect Panel,2024-11-12
634,1839,0.9809134006500244,0.9592804487238419,q5,Чем отличается type от interface,Boomerang,2025-05-23,q10,Чем отличается type от interface?,Ittrain,2025-04-15
635,3004,0.9821501970291138,1.0000000000000002,q6,Что такое generic,Boomerang,2025-05-23,q13,Что такое Generic,Soft Media Group,2025-01-31
635,2735,0.9790756702423096,0.9677323723784343,q6,Что такое generic,Boomerang,2025-05-23,q1,Что такое generic?,Rusjet,2024-07-08
635,2385,0.966015100479126,0.9232653538122354,q6,Что такое generic,Boomerang,2025-05-23,q23,Что такое generics?,Prooftech IT,2025-03-03
637,795,0.987962543964386,0.9429273314932499,q8,Что такое type guard,Boomerang,2025-05-23,q1,Что такое type guards,Consaltica,2024-11-20
637,1682,0.9798261523246765,0.9739701530360549,q8,Что такое type guard,Boomerang,2025-05-23,q19,Что такое type guard?,Irlix,2025-03-03
674,5359,0.9834913611412048,0.9543790899560292,q30,Отличие type от interface в TypeScript,Brainshell,2024-07-04,q3,В чем отличие type от interface в TypeScript,Медлайнсофт,2025-04-30
689,3668,0.9876512885093689,0.9696892026045804,q2,Что такое useEffect в React?,Broniboy Тех Скриннинг,2024-08-16,q9,Что такое useEffect в React,Актион,2025-02-05
694,7687,0.986993670463562,0.9288596699486631,q1,Расскажи про свой опыт,Caltat,2024-11-12,q1,Расскажи про свой опыт.,ФАККТ,2025-03-12
696,994,0.9830085039138794,1.0000000000000002,q3,flex vs grid,Caltat,2024-11-12,q4,Flex vs Grid,Digital Sector,2025-05-22
697,2340,0.9886674284934998,1.0000000000000009,q4,var let const,Caltat,2024-11-12,q5,Var let const,pro-test.Studio,2024-10-29
730,2076,0.979647159576416,0.9589380478540374,q9,Как оптимизировать приложение?,Clevertec,2025-06-16,q2,Как оптимизировать приложение,Match,2025-02-26
734,1759,0.9901272058486938,0.988180125619866,q13,В чем разница между type и interface в TypeScript?,Clevertec,2025-06-16,q3,В чем разница между type и interface в TypeScript,IT One,2024-08-17
735,982,0.9983880519866943,1.0000000000000002,q14,Что такое virtual DOM?,Clevertec,2025-06-16,q13,Что такое Virtual DOM?,Digital Sector,2025-05-28
735,1658,0.989733874797821,1.0000000000000002,q14,Что такое virtual DOM?,Clevertec,2025-06-16,q2,Что такое virtual dom?,Intelsy,2025-07-04
735,848,0.9779196977615356,0.9498534185525309,q14,Что такое virtual DOM?,Clevertec,2025-06-16,q8,Что такое Virtual DOM,Darinsoft,2024-11-06
735,2768,0.9682109355926514,0.9498534185525309,q14,Что такое virtual DOM?,Clevertec,2025-06-16,q2,что такое virtual dom,Selecty,2025-04-04
735,4034,0.9617353677749634,0.9498534185525309,q14,Что такое virtual DOM?,Clevertec,2025-06-16,q7,Что такое Virtual Dom,ГНИВЦ,2025-03-26
741,6394,0.9954622983932495,1.0000000000000002,q1,Типы данных js,Click2Money,2024-06-03,q10,типы данных js,Сбер,2025-01-30
749,3200,0.9685404896736145,1.0,q11,Virtual DOM,Click2Money,2024-06-03,q6,Virtual Dom,Umbrella It,2025-01-31
778,5888,0.9756646752357483,0.9293397502513766,q16,Что такое HOC (Higher-Order Component) в React,Cloud.Ru,2024-08-22,q8,Что такое HOC (Higher-Order Component),Ренессанс Страхование,2024-10-18
783,2806,0.9686501026153564,0.9116844329863154,q22,Что такое code splitting,Cloud.Ru,2024-08-22,q8,Что такое Code splitting css,Sky Capital,2025-02-20
790,791,0.9919005632400513,0.9324475607494747,q4,"Реализуйте функцию, которая преобразует вложенный объект в плоский объект с ключами в формате 'a.b.c' и значениями из исходного объекта, используя рекурсию",Comagic,2024-02-13,q5,"Реализуйте функцию, которая преобразует вложенный объект в плоский объект с ключами в формате 'a.b.c' и значениями из исходного объекта, используя стек вместо рекурсии",Comagic,2024-02-13
795,1682,0.9704890251159668,0.9183830773563589,q1,Что такое type guards,Consaltica,2024-11-20,q19,Что такое type guard?,Irlix,2025-03-03
806,4109,0.9975844621658325,1.0000000000000004,q10,что такое рекурсия,Cosysoft,2024-06-07,q8,Что такое рекурсия,АФЛТ Систем,2025-07-07
816,942,0.9990464448928833,0.9124812680060475,q4,"Реализуйте функцию parallelLimit, которая выполняет несколько асинхронных задач с ограничением на количество параллельных вызовов",Cosysoft,2024-06-03,q4,"Реализуйте функцию parallelLimit, которая выполняет несколько асинхронных задач с ограничением по количеству параллельных вызовов",Dcloud,2024-06-10
834,6783,0.9929075241088867,1.0,q2,как работает event loop,CubeLab,2024-07-13,q3,Как работает event loop,Сбер,2024-07-24
834,2374,0.9747104644775391,0.9475042150111291,q2,как работает event loop,CubeLab,2024-07-13,q12,Как работает event loop?,Prooftech IT,2025-03-03
834,2662,0.9721351861953735,0.9475042150111291,q2,как работает event loop,CubeLab,2024-07-13,q2,Как работает Event Loop?,Right Line,2024-07-01
848,2768,0.9904953241348267,1.0,q8,Что такое Virtual DOM,Darinsoft,2024-11-06,q2,что такое virtual dom,Selecty,2025-04-04
848,4034,0.9842190742492676,1.0,q8,Что такое Virtual DOM,Darinsoft,2024-11-06,q7,Что такое Virtual Dom,ГНИВЦ,2025-03-26
848,982,0.9810601472854614,0.9498534185525309,q8,Что такое Virtual DOM,Darinsoft,2024-11-06,q13,Что такое Virtual DOM?,Digital Sector,2025-05-28
848,1658,0.9682466983795166,0.9498534185525309,q8,Что такое Virtual DOM,Darinsoft,2024-11-06,q2,Что такое virtual dom?,Intelsy,2025-07-04
849,4364,0.992168664932251,1.0000000000000009,q9,Что такое Reconciliation в React,Darinsoft,2024-11-06,q13,Что такое reconciliation в React,Гарда,2024-09-01
849,1387,0.9867274761199951,0.9814106429853078,q9,Что такое Reconciliation в React,Darinsoft,2024-11-06,q5,Что такое Reconciliation в React?,Highhelp,2025-07-15
850,2759,0.980465829372406,0.9727621259170761,q10,Что такое Fiber в React,Darinsoft,2024-11-06,q2,Что такое fiber в React?,Secure T,2024-01-31
910,2993,0.9708776473999023,1.0,q2,Что такое SOLID,Dataworks,2024-11-20,q1,Что такое Solid,Soft Media Group,2025-01-31
912,3285,0.9981375932693481,0.9299130079305019,q5,В чем отличие стрелочных функций от обычных функций,Dataworks,2024-11-20,q4,В чем отличия стрелочных функций от обычных функций,Unitarius,2025-01-15
925,7667,0.9976320266723633,1.0,q13,Расскажи про Eventloop,Data World,2024-11-12,q1,Расскажи про eventloop,Урбантех,2024-07-13
925,2609,0.9940179586410522,1.0,q13,Расскажи про Eventloop,Data World,2024-11-12,q12,Расскажи про EventLoop,R Vision,2024-11-26
925,3370,0.9817281365394592,1.0,q13,Расскажи про Eventloop,Data World,2024-11-12,q6,Расскажи про EventLoop.,Wanted,2024-09-27
981,1001,0.9785952568054199,0.9317163036003175,q12,Объяснить глубокое и неглубокое копирование объекта,Digital Sector,2025-05-28,q12,Глубокое и неглубокое копирование объекта,Digital Sector,2025-05-22
982,1658,0.9888591766357422,1.0000000000000002,q13,Что такое Virtual DOM?,Digital Sector,2025-05-28,q2,Что такое virtual dom?,Intelsy,2025-07-04
982,2768,0.969992995262146,0.9498534185525309,q13,Что такое Virtual DOM?,Digital Sector,2025-05-28,q2,что такое virtual dom,Selecty,2025-04-04
982,4034,0.9648482799530029,0.9498534185525309,q13,Что такое Virtual DOM?,Digital Sector,2025-05-28,q7,Что такое Virtual Dom,ГНИВЦ,2025-03-26
983,7521,0.9876778721809387,0.9765141345575727,q14,Что такое Portal в React?,Digital Sector,2025-05-28,q4,Что такое Portal в React,Тех Тпп Лаб,2024-07-03
995,3622,0.9876636266708374,1.0,q5,Тег picture,Digital Sector,2025-05-22,q5,тег picture,Ай Теко,2025-04-07
1020,4759,0.9852169752120972,0.9808545914245108,q11,Какие типы данных есть в JavaScript?,Dodo Brands,2024-10-14,q10,Какие типы данных есть в JavaScript,Иннотех,2024-09-05
1023,5907,0.9846019744873047,0.9078608350264953,q14,Что такое CI/CD?,Dodo Brands,2024-10-14,q15,Что такое CI/CD,Рокет Тех,2024-06-11
1032,7897,0.9505487680435181,0.9190664536556392,q2,"Реализовать функцию debounce на чистом JavaScript без использования готовых библиотек, которая вызывает переданную функцию только если пауза в наборе текста составила 1 секунду, имитируя отложенный вызов для текстового поиска с участием бэкенда",ED IT,2025-02-06,q2,"Реализовать функцию debounse(fn, delay=1000) на чистом JavaScript без использования готовых библиотек, которая вызывает переданную функцию fn только если пауза в наборе текста составила 1 секунду, имитируя отложенный вызов для текстового поиска с участием бэкенда",ЭД Айти,2025-01-15
1036,3731,0.9752456545829773,1.0000000000000004,q5,"call, bind, apply",Egar Technology,2025-01-29,q8,"Call, bind, apply",Аласкар,2024-06-26
1104,6849,0.9871213436126709,1.0000000000000002,q10,Хуки React,Enot io,2024-10-25,q3,хуки React,Сбер,2024-06-19
1107,4314,0.9516699314117432,0.9055551303120698,q14,HOC (Higher Order Components),Enot io,2024-10-25,q22,"HOC (Higher Order Components), примеры",Газпром Нефть,2025-06-06
1124,5989,0.9963229894638062,1.0000000000000002,q4,как развиваешься,Evapps,2025-02-05,q3,Как развиваешься,Ротек,2024-11-11
1124,2261,0.9749333262443542,0.9449735233946226,q4,как развиваешься,Evapps,2025-02-05,q4,Как развиваешься?,Orionpro,2024-11-29
1137,3027,0.9983072280883789,1.0,q1,Про опыт,Evercode Lab,2025-07-11,q1,про опыт,Solar,2024-10-25
1180,7688,0.9917349815368652,0.920300001165467,q1,"Виды хранилищ и их отличия (localStorage, sessionStorage, cookie, IndexedDB)",Facct,2025-03-16,q2,"Виды хранилищ и их отличия (localstorage, session storage, cookie, indexdb).",ФАККТ,2025-03-12
1198,3188,0.9798868894577026,0.9575423257372995,q19,Как работает сборщик мусора?,Facct,2025-03-16,q13,Как работает сборщик мусора,Tybbo System,2024-11-14
1236,3537,0.9980417490005493,1.0,q5,Что такое eventLoop,Funbox,2024-06-18,q5,что такое eventLoop,Аv.By,2025-06-02
1236,5509,0.99776691198349,1.0,q5,Что такое eventLoop,Funbox,2024-06-18,q7,Что такое EventLoop,Ооо Мобайлдевелопмент,2024-10-24
1251,3946,0.9691957235336304,0.9408983590012228,q8,Отличия классовых компонентов от функциональных,Funbox,2024-06-14,q2,Отличия классовых компонентов от функциональных в React,Альфа Банк,2024-06-25
1265,1613,0.9896190166473389,0.929304051575464,q2,Расскажи про проекты,Gitverse,2024-09-24,q46,Расскажи про проект,iFellow,2025-02-14
1284,3017,0.9800428748130798,0.9785362865084195,q17,useEffect vs useLayoutEffect?,Glowbyte,2024-10-21,q6,useEffect vs useLayoutEffect,Sok Studio,2024-11-15
1305,5817,0.968775749206543,1.0,q3,Что такое rest,Glowbyte,2024-07-03,q5,Что такое REST,Рамблер,2024-11-27
1306,6789,0.9878090620040894,1.0,q4,Методы http,Glowbyte,2024-07-03,q4,Методы HTTP,Сбер,2024-07-21
1354,6510,0.9814239740371704,0.9238911403064713,q8,Почему уходишь с текущего места,Goinvest,2024-07-08,q9,Почему уходишь с текущего места работы,Сбер,2024-10-23
1354,6881,0.9669305086135864,0.9060920037220608,q8,Почему уходишь с текущего места,Goinvest,2024-07-08,q2,Почему уходишь с текущего места работы?,Северсталь,2025-06-11
1376,3501,0.9763847589492798,0.9819019021513188,q4,Как свободное время проводишь?,Highhelp,2025-07-18,q4,Как свободное время проводишь,Zero Agency,2025-07-08
1377,3499,0.9784395098686218,0.9624081847261796,q5,Чем увлекаешься?,Highhelp,2025-07-18,q2,Чем увлекаешься,Zero Agency,2025-07-08
1383,2809,0.9778320789337158,0.9368653260836391,q1,Что такое event loop?,Highhelp,2025-07-15,q11,Что такое event loop,Sky Capital,2025-02-20
1383,6727,0.9748241305351257,0.9368653260836391,q1,Что такое event loop?,Highhelp,2025-07-15,q3,Что такое Event loop,Сбер,2024-07-24
1385,6474,0.9760009050369263,0.9390463307800737,q3,"В чем разница между Promise.all, Promise.allSettled, Promise.race и Promise.any?",Highhelp,2025-07-15,q7,"Объяснить разницу между Promise.all, Promise.allSettled, Promise.race и Promise.any",Сбер,2024-11-06
1387,4364,0.9793328046798706,0.9814106429853078,q5,Что такое Reconciliation в React?,Highhelp,2025-07-15,q13,Что такое reconciliation в React,Гарда,2024-09-01
