company,rank,cluster_id,cluster_label,count,share
Data World,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15,1.0
Datagile,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,34,1.0
Datanomica,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10,1.0
Dataworks,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Datsteam,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Dcloud,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2,1.0
Diasoft,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17,1.0
Digital Sector,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,31,1.0
Dinord,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1,1.0
Dodo Brands,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,13,1.0
Dogma,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2,1.0
Doubletapp,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
ED IT,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1,1.0
Egar Technology,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16,1.0
EnjoyPro,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,25,1.0
Enot io,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15,1.0
Eq Lab,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2,1.0
Evapps,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14,1.0
Evercode Lab,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10,1.0
F6 - Команда Кибербезопасности,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,13,1.0
F6 Кибербезопасность,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10,1.0
Facct,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,25,1.0
Farzoom,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Fatzoom,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Fractall Design,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Funbox,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,20,1.0
GhostBusters,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Gitverse,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Glowbyte,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,61,1.0
Goinvest,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Gotbit,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2,1.0
Heropayments,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9,1.0
Highhelp,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17,1.0
Hitch By Red Mad Robot,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16,1.0
Holyweb,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,24,1.0
Huntit,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Hyperus,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2,1.0
IT One,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,85,1.0
ITL.Team,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1,1.0
ITLab,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
ITQ Group,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2,1.0
Igaming,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Infinet Wireless,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Infowatch,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Intelsy,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Intermobility,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Irlix,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16,1.0
Itsports,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9,1.0
Ittrain,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,26,1.0
Jsa Group,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12,1.0
Kaspersky,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,19,1.0
Kedoo,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16,1.0
Kikimora.Tech,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2,1.0
Kotelov,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1,1.0
Kt.Team,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Kvando,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14,1.0
Lada Цифра,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9,1.0
Lady & Gentalmens,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Lady & Gentleman City,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5,1.0
Lanit Bpm,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9,1.0
LegalTech,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14,1.0
Linked Helper,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,19,1.0
Lofty,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Loyality Labs Hr Тех Скриннинг,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Luxsoft,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Major Ассистанс,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Marpla,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1,1.0
Match,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
Melon Fashion Group,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5,1.0
Merlion Tech,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,20,1.0
Metatraning,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
MinervaSOFT,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,20,1.0
Mobile Up Mts Тех Скриннинг,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Molecula,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Mozen,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,20,1.0
Nedra Digital,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17,1.0
Nexign,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,29,1.0
Noname,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Orionpro,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Perfect Panel,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10,1.0
Petrastudio,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Petshop,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Pizzasoft,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Polydev,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17,1.0
Portalbilet,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Pravotech,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1,1.0
Premium IT Solution,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11,1.0
Prooftech IT,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,63,1.0
Prootech,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10,1.0
Pyrus,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,45,1.0
Quantum Art,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,25,1.0
Queen Games,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11,1.0
Quеen Intеraсtive,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
R Vision,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,52,1.0
ROGII,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,13,1.0
RTSoft,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11,1.0
Radium Finance,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
RecruitTech,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Restoclub,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14,1.0
Right Line,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,26,1.0
Riverside,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Rusiem,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Rusjet,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9,1.0
Sarex,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Secure T,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
Selecty,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17,1.0
Sibintek,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Signal,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Sky Capital,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,21,1.0
Sl Soft,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,13,1.0
Smart,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14,1.0
Smartvisor,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2,1.0
Smena,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,27,1.0
Sminex,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Soft Media Group,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17,1.0
SoftJet,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,27,1.0
Softnetix,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,34,1.0
Sok Studio,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9,1.0
Solar,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14,1.0
Spacebit,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Staff IT,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17,1.0
Start X,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Stream Telecom,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1,1.0
Syntellect,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16,1.0
Tecius,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,28,1.0
Tilda Тильда,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9,1.0
Trendtech,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,18,1.0
Tybbo System,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16,1.0
Umbrella It,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Umnico Юмнико,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Unirest,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,36,1.0
Unisender,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14,1.0
Unitarius,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11,1.0
Unybrands,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11,1.0
VegaSoft,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14,1.0
Vk Workspace,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,23,1.0
Vk Инфраструктура,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
Wanted,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,24,1.0
Westlink,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Wildberries,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,46,1.0
X Keeper,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10,1.0
X5,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Xsolla,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5,1.0
Yadro Тераплан,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Yougile,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Zero Agency,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16,1.0
Zoftify,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
iFellow,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,136,1.0
mos.ru,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,20,1.0
pro-test.Studio,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12,1.0
А2Code,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2,1.0
Аv.By,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12,1.0
АФЛТ Систем,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5,1.0
Авиационные Интерьеры,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12,1.0
Автомакон,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Аг Логистика,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Азиатско-Тихоокеанский Банк,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14,1.0
Азот Взрыв,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Ай Теко,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,24,1.0
Айкон Про,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14,1.0
Актион,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Алабуга,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,49,1.0
Аласкар,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5,1.0
Альдера Софт,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Альфа Банк,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,155,1.0
Альфа Лизинг,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5,1.0
Антара,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,61,1.0
Армо Системы,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,20,1.0
Афлт Системс,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16,1.0
Аэроклуб,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,35,1.0
БКХ Еком,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
БФТ Холдинг,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Барсити,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2,1.0
Билайн,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Бсс,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,18,1.0
Бюро 1440,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,23,1.0
Вендорteamf,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10,1.0
Вирту Системс,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10,1.0
Восточная Горнорудная,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15,1.0
ГНИВЦ,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,13,1.0
Газпром Медиа,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,18,1.0
Газпром Нефть,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,21,1.0
Газпромбанк,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,22,1.0
Гарда,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14,1.0
Гиксорс,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17,1.0
Главгоэкспертиза,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12,1.0
Гринатом,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1,1.0
Группа Астра,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15,1.0
Дарвин,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14,1.0
Девман,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9,1.0
Деливери,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5,1.0
Дивергент Зп До 150К,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1,1.0
Дом.Рф,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,22,1.0
Домклие,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,29,1.0
Домклик,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,73,1.0
Евротехкилмат,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Издательство Национальное Образование,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Иннополис,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16,1.0
Иннотех,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,130,1.0
Интерфакс,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,36,1.0
Исходный Код,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16,1.0
Иц Айтеко,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
Калина Софт,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12,1.0
Катюшапринт,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5,1.0
Кб 12,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
Киберлаб,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15,1.0
Кловер Групп,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
Код Безопасности,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15,1.0
Код Открытия,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Кокос.Group,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
Компания Sapiens Solution,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11,1.0
Компания T2,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1,1.0
Компэл,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,18,1.0
Контур,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Корпорация Элар,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10,1.0
Кредит Европа Банк,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
Купер,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Купибилет,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Лаборатория Безопасных Систем,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Ланит Би Пи Эм,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,23,1.0
Легкорем,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,19,1.0
Лемма,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17,1.0
Лига Цифровой Экономики,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,54,1.0
Магнит,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Маквес,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,24,1.0
Максбитсолюшен,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2,1.0
Мегаплан,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
Мегафон,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,30,1.0
Медиалогия,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,23,1.0
Медлайнсофт,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Моеvideo,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
Мой Склад,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Мосгосэкспертиза,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5,1.0
Московский Аэропорт Домодедово,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2,1.0
Мостранспорт,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Название Компании Appmaster,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Название Компании Beget,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16,1.0
Нефтетранссервис,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11,1.0
Ниимэ,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5,1.0
Нильсен,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9,1.0
Ниу Вшэ,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5,1.0
Омнитек,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Онлайн Решения,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16,1.0
Онлайн Школа-Тетрика,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2,1.0
Ооо Айти Фаундейшн,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8,1.0
Ооо Мобайлдевелопмент,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15,1.0
Орнитех,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14,1.0
"Отп Банк В Какую То Команду Из Daily Banking, Которая Занимается Микрофронтами",1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Петрович Тех,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15,1.0
Платежное Решение,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10,1.0
Платформа,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10,1.0
Поле.рф,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,45,1.0
Продамус,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6,1.0
Промсвязьбанк,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,22,1.0
Промышленные инновации,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4,1.0
Р Софт,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
РСХБ Интех,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,76,1.0
Райффайзен,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,34,1.0
Рамблер,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15,1.0
Расчетные Решения,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3,1.0
Рв Системс,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
Рвд Инфосистемы,1.0,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7,1.0
