company,cluster_id,cluster_label,count
Diasoft,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17
Diasoft,-1,noise,7
Digital Sector,9,9: сложности алгоритмов / typescript замыкание / react преимущества,31
Digital Sector,-1,noise,7
Dinord,-1,noise,1
Dinord,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1
Dodo Brands,9,9: сложности алгоритмов / typescript замыкание / react преимущества,13
Dodo Brands,-1,noise,1
Dogma,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
Doubletapp,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Doubletapp,-1,noise,1
ED IT,-1,noise,2
ED IT,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1
Egar Technology,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16
Egar Technology,-1,noise,9
EnjoyPro,9,9: сложности алгоритмов / typescript замыкание / react преимущества,25
EnjoyPro,-1,noise,11
Enot io,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15
Enot io,-1,noise,3
Eq Lab,-1,noise,2
Eq Lab,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
Evapps,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14
Evapps,-1,noise,6
Evercode Lab,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10
Evercode Lab,-1,noise,1
F6 - Команда Кибербезопасности,9,9: сложности алгоритмов / typescript замыкание / react преимущества,13
F6 - Команда Кибербезопасности,-1,noise,4
F6 Кибербезопасность,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10
F6 Кибербезопасность,-1,noise,5
Facct,9,9: сложности алгоритмов / typescript замыкание / react преимущества,25
Facct,-1,noise,2
Farzoom,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Farzoom,-1,noise,1
Fatzoom,-1,noise,6
Fatzoom,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Fractall Design,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Fractall Design,-1,noise,1
Funbox,9,9: сложности алгоритмов / typescript замыкание / react преимущества,20
Funbox,-1,noise,6
GhostBusters,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
GhostBusters,-1,noise,1
Gitverse,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Gitverse,-1,noise,1
Glowbyte,9,9: сложности алгоритмов / typescript замыкание / react преимущества,61
Glowbyte,-1,noise,17
Goinvest,-1,noise,6
Goinvest,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Gotbit,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
Gotbit,-1,noise,1
Heropayments,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9
Heropayments,-1,noise,2
Highhelp,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17
Highhelp,-1,noise,3
Hitch By Red Mad Robot,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16
Hitch By Red Mad Robot,-1,noise,2
Holyweb,9,9: сложности алгоритмов / typescript замыкание / react преимущества,24
Holyweb,-1,noise,4
Huntit,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Huntit,-1,noise,5
Hyperus,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
IT One,9,9: сложности алгоритмов / typescript замыкание / react преимущества,85
IT One,-1,noise,36
ITL.Team,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1
ITLab,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
ITLab,-1,noise,2
ITQ Group,-1,noise,4
ITQ Group,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
Igaming,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Igaming,-1,noise,4
Infinet Wireless,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Infinet Wireless,-1,noise,2
Infowatch,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Infowatch,-1,noise,4
Infrakap,-1,noise,2
Intelsy,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Intermobility,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Irlix,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16
Irlix,-1,noise,2
Itsports,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9
Itsports,-1,noise,2
Ittrain,9,9: сложности алгоритмов / typescript замыкание / react преимущества,26
Ittrain,-1,noise,12
Jsa Group,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12
Jsa Group,-1,noise,10
Kaspersky,9,9: сложности алгоритмов / typescript замыкание / react преимущества,19
Kaspersky,-1,noise,9
Kedoo,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16
Kedoo,-1,noise,10
Kikimora.Tech,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
Kotelov,-1,noise,1
Kotelov,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1
Kt.Team,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Kt.Team,-1,noise,2
Kvando,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14
Lada Цифра,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9
Lada Цифра,-1,noise,4
Lady & Gentalmens,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Lady & Gentalmens,-1,noise,1
Lady & Gentleman City,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5
Lanit Bpm,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9
Lanit Bpm,-1,noise,4
LegalTech,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14
LegalTech,-1,noise,2
Linked Helper,9,9: сложности алгоритмов / typescript замыкание / react преимущества,19
Linked Helper,-1,noise,8
Lofty,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Lofty,-1,noise,2
Loyality Labs Hr Тех Скриннинг,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Loyality Labs Hr Тех Скриннинг,-1,noise,1
Luxsoft,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Luxsoft,-1,noise,1
Major Ассистанс,-1,noise,3
Major Ассистанс,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Marpla,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1
Match,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Melon Fashion Group,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5
Merlion Tech,9,9: сложности алгоритмов / typescript замыкание / react преимущества,20
Merlion Tech,-1,noise,7
Metatraning,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
MinervaSOFT,9,9: сложности алгоритмов / typescript замыкание / react преимущества,20
MinervaSOFT,-1,noise,1
Mobile Up Mts Тех Скриннинг,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Mobile Up Mts Тех Скриннинг,-1,noise,2
Molecula,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Molecula,-1,noise,2
Mozen,9,9: сложности алгоритмов / typescript замыкание / react преимущества,20
Nedra Digital,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17
Nedra Digital,-1,noise,7
Nexign,9,9: сложности алгоритмов / typescript замыкание / react преимущества,29
Nexign,-1,noise,4
Noname,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Orionpro,-1,noise,3
Orionpro,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Perfect Panel,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10
Perfect Panel,-1,noise,2
Petrastudio,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Petshop,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Petshop,-1,noise,4
Pizzasoft,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Polydev,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17
Polydev,-1,noise,8
Portalbilet,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Portalbilet,-1,noise,1
Pravotech,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1
Premium IT Solution,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11
Premium IT Solution,-1,noise,2
Prooftech IT,9,9: сложности алгоритмов / typescript замыкание / react преимущества,63
Prooftech IT,-1,noise,17
Prootech,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10
Prootech,-1,noise,7
Pyrus,9,9: сложности алгоритмов / typescript замыкание / react преимущества,45
Pyrus,-1,noise,17
Quantum Art,9,9: сложности алгоритмов / typescript замыкание / react преимущества,25
Quantum Art,-1,noise,3
Queen Games,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11
Queen Games,-1,noise,5
Quеen Intеraсtive,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Quеen Intеraсtive,-1,noise,1
R Vision,9,9: сложности алгоритмов / typescript замыкание / react преимущества,52
R Vision,-1,noise,14
ROGII,9,9: сложности алгоритмов / typescript замыкание / react преимущества,13
ROGII,-1,noise,2
RTSoft,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11
RTSoft,-1,noise,3
Radium Finance,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Radium Finance,-1,noise,1
RecruitTech,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
RecruitTech,-1,noise,4
Restoclub,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14
Restoclub,-1,noise,2
Right Line,9,9: сложности алгоритмов / typescript замыкание / react преимущества,26
Right Line,-1,noise,8
Riverside,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Riverside,-1,noise,1
Rusiem,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Rusiem,-1,noise,1
Rusjet,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9
Rusjet,-1,noise,1
Sarex,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Sarex,-1,noise,5
Secure T,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Secure T,-1,noise,2
Selecty,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17
Sibintek,-1,noise,4
Sibintek,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Signal,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Signal,-1,noise,3
Sky Capital,9,9: сложности алгоритмов / typescript замыкание / react преимущества,21
Sky Capital,-1,noise,7
Sl Soft,9,9: сложности алгоритмов / typescript замыкание / react преимущества,13
Sl Soft,-1,noise,3
Smart,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14
Smart,-1,noise,2
Smartvisor,-1,noise,2
Smartvisor,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
Smena,9,9: сложности алгоритмов / typescript замыкание / react преимущества,27
Smena,-1,noise,8
Sminex,-1,noise,8
Sminex,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Soft Media Group,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17
Soft Media Group,-1,noise,3
SoftJet,9,9: сложности алгоритмов / typescript замыкание / react преимущества,27
SoftJet,-1,noise,13
Softnetix,9,9: сложности алгоритмов / typescript замыкание / react преимущества,34
Softnetix,-1,noise,5
Sok Studio,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9
Sok Studio,-1,noise,5
Solar,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14
Solar,-1,noise,5
Spacebit,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Spacebit,-1,noise,1
Staff IT,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17
Staff IT,-1,noise,7
Start X,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Start X,-1,noise,1
Stream Telecom,-1,noise,3
Stream Telecom,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1
Syntellect,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16
Syntellect,-1,noise,4
Tecius,9,9: сложности алгоритмов / typescript замыкание / react преимущества,28
Tecius,-1,noise,11
Tilda Тильда,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9
Tilda Тильда,-1,noise,2
Trendtech,9,9: сложности алгоритмов / typescript замыкание / react преимущества,18
Trendtech,-1,noise,3
Tybbo System,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16
Tybbo System,-1,noise,3
Umbrella It,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Umbrella It,-1,noise,2
Umnico Юмнико,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Umnico Юмнико,-1,noise,1
Unirest,9,9: сложности алгоритмов / typescript замыкание / react преимущества,36
Unirest,-1,noise,17
Unisender,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14
Unisender,-1,noise,4
Unitarius,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11
Unitarius,-1,noise,1
Unybrands,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11
Unybrands,-1,noise,1
VegaSoft,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14
VegaSoft,-1,noise,2
Vk Workspace,9,9: сложности алгоритмов / typescript замыкание / react преимущества,23
Vk Workspace,-1,noise,11
Vk Инфраструктура,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Vk Инфраструктура,-1,noise,2
Wanted,9,9: сложности алгоритмов / typescript замыкание / react преимущества,24
Wanted,-1,noise,7
Westlink,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Westlink,-1,noise,3
Wildberries,9,9: сложности алгоритмов / typescript замыкание / react преимущества,46
Wildberries,-1,noise,17
X Keeper,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10
X Keeper,-1,noise,2
X5,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Xsolla,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5
Yadro Тераплан,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Yougile,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Yougile,-1,noise,1
Zero Agency,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16
Zero Agency,-1,noise,9
Zoftify,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Zoftify,-1,noise,1
iFellow,9,9: сложности алгоритмов / typescript замыкание / react преимущества,136
iFellow,-1,noise,38
mos.ru,9,9: сложности алгоритмов / typescript замыкание / react преимущества,20
mos.ru,-1,noise,4
pro-test.Studio,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12
pro-test.Studio,-1,noise,1
А2Code,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
Аv.By,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12
АФЛТ Систем,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5
АФЛТ Систем,-1,noise,4
Авиационные Интерьеры,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12
Авиационные Интерьеры,-1,noise,4
Автомакон,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Автомакон,-1,noise,5
Аг Логистика,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Аг Логистика,-1,noise,3
Азиатско-Тихоокеанский Банк,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14
Азиатско-Тихоокеанский Банк,-1,noise,2
Азот Взрыв,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Ай Теко,9,9: сложности алгоритмов / typescript замыкание / react преимущества,24
Ай Теко,-1,noise,10
Айкон Про,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14
Айкон Про,-1,noise,9
Актион,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Актион,-1,noise,3
Алабуга,9,9: сложности алгоритмов / typescript замыкание / react преимущества,49
Алабуга,-1,noise,5
Аласкар,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5
Аласкар,-1,noise,2
Альдера Софт,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Альфа Банк,9,9: сложности алгоритмов / typescript замыкание / react преимущества,155
Альфа Банк,-1,noise,59
Альфа Лизинг,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5
Альфа Лизинг,-1,noise,1
Антара,9,9: сложности алгоритмов / typescript замыкание / react преимущества,61
Антара,-1,noise,12
Армо Системы,9,9: сложности алгоритмов / typescript замыкание / react преимущества,20
Армо Системы,-1,noise,9
Афлт Системс,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16
Афлт Системс,-1,noise,3
Аэроклуб,9,9: сложности алгоритмов / typescript замыкание / react преимущества,35
Аэроклуб,-1,noise,6
БКХ Еком,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
БКХ Еком,-1,noise,3
БФТ Холдинг,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
БФТ Холдинг,-1,noise,2
Барсити,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
Билайн,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Билайн,-1,noise,3
Бсс,9,9: сложности алгоритмов / typescript замыкание / react преимущества,18
Бсс,-1,noise,8
Бюро 1440,9,9: сложности алгоритмов / typescript замыкание / react преимущества,23
Бюро 1440,-1,noise,17
Вендорteamf,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10
Вендорteamf,-1,noise,3
Вирту Системс,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10
Вирту Системс,-1,noise,6
Восточная Горнорудная,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15
Восточная Горнорудная,-1,noise,2
ГНИВЦ,9,9: сложности алгоритмов / typescript замыкание / react преимущества,13
ГНИВЦ,-1,noise,1
Газпром Медиа,9,9: сложности алгоритмов / typescript замыкание / react преимущества,18
Газпром Медиа,-1,noise,3
Газпром Нефть,9,9: сложности алгоритмов / typescript замыкание / react преимущества,21
Газпром Нефть,-1,noise,6
Газпромбанк,9,9: сложности алгоритмов / typescript замыкание / react преимущества,22
Газпромбанк,-1,noise,10
Гарда,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14
Гарда,-1,noise,3
Геоюна,-1,noise,2
Гиксорс,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17
Гиксорс,-1,noise,6
Главгоэкспертиза,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12
Главгоэкспертиза,-1,noise,5
Гринатом,-1,noise,1
Гринатом,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1
Группа Астра,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15
Группа Астра,-1,noise,5
Дарвин,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14
Дарвин,-1,noise,3
Девман,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9
Девман,-1,noise,2
Деливери,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5
Дивергент Зп До 150К,-1,noise,1
Дивергент Зп До 150К,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1
Дом.Рф,9,9: сложности алгоритмов / typescript замыкание / react преимущества,22
Дом.Рф,-1,noise,11
Домклие,9,9: сложности алгоритмов / typescript замыкание / react преимущества,29
Домклие,-1,noise,9
Домклик,9,9: сложности алгоритмов / typescript замыкание / react преимущества,73
Домклик,-1,noise,31
Евротехкилмат,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Евротехкилмат,-1,noise,1
Издательство Национальное Образование,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Издательство Национальное Образование,-1,noise,1
Иннополис,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16
Иннополис,-1,noise,8
Иннотех,9,9: сложности алгоритмов / typescript замыкание / react преимущества,130
Иннотех,-1,noise,49
Интерфакс,9,9: сложности алгоритмов / typescript замыкание / react преимущества,36
Интерфакс,-1,noise,12
Исходный Код,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16
Исходный Код,-1,noise,1
Иц Айтеко,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Иц Айтеко,-1,noise,4
Калина Софт,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12
Калина Софт,-1,noise,4
Катюшапринт,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5
Катюшапринт,-1,noise,1
Кб 12,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Квинсдевелопмент,-1,noise,1
Киберлаб,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15
Киберлаб,-1,noise,1
Кловер Групп,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Кловер Групп,-1,noise,2
Код Безопасности,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15
Код Безопасности,-1,noise,3
Код Открытия,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Код Открытия,-1,noise,1
Кокос.Group,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Компания Sapiens Solution,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11
Компания Sapiens Solution,-1,noise,4
Компания T2,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1
Компэл,9,9: сложности алгоритмов / typescript замыкание / react преимущества,18
Компэл,-1,noise,8
Контур,-1,noise,8
Контур,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Корпорация Элар,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10
Корпорация Элар,-1,noise,1
Кредит Европа Банк,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Купер,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Купибилет,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Купибилет,-1,noise,2
Лаборатория Безопасных Систем,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Ланит Би Пи Эм,9,9: сложности алгоритмов / typescript замыкание / react преимущества,23
Ланит Би Пи Эм,-1,noise,9
Легкорем,9,9: сложности алгоритмов / typescript замыкание / react преимущества,19
Легкорем,-1,noise,2
Лемма,9,9: сложности алгоритмов / typescript замыкание / react преимущества,17
Лемма,-1,noise,1
Лига Цифровой Экономики,9,9: сложности алгоритмов / typescript замыкание / react преимущества,54
Лига Цифровой Экономики,-1,noise,21
Магнит,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Маквес,9,9: сложности алгоритмов / typescript замыкание / react преимущества,24
Маквес,-1,noise,4
Максбитсолюшен,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
Максбитсолюшен,-1,noise,1
Мегаплан,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Мегаплан,-1,noise,1
Мегафон,9,9: сложности алгоритмов / typescript замыкание / react преимущества,30
Мегафон,-1,noise,12
Медиалогия,9,9: сложности алгоритмов / typescript замыкание / react преимущества,23
Медиалогия,-1,noise,7
Медлайнсофт,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Медлайнсофт,-1,noise,3
Моеvideo,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Мой Склад,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Мой Склад,-1,noise,2
Мосгосэкспертиза,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5
Мосгосэкспертиза,-1,noise,1
Московский Аэропорт Домодедово,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
